step,active_behavior
0,
1,motive_3
2,motive_3
3,motive_1
4,motive_1
5,motive_8
6,motive_8
7,motive_6
8,motive_6
9,motive_4
10,motive_4
11,motive_1
12,motive_1
13,motive_7
14,motive_7
15,motive_5
16,motive_5
17,motive_6
18,motive_6
19,motive_8
20,motive_8
21,motive_2
22,motive_2
23,motive_3
24,motive_3
25,motive_1
26,motive_1
27,motive_7
28,motive_7
29,motive_6
30,motive_6
31,motive_2
32,motive_2
33,motive_3
34,motive_3
35,motive_7
36,motive_7
37,motive_8
38,motive_8
39,motive_2
40,motive_2
41,motive_6
42,motive_6
43,motive_5
44,motive_5
45,motive_3
46,motive_3
47,motive_1
48,motive_1
49,motive_8
50,motive_8
51,motive_7
52,motive_7
53,motive_6
54,motive_6
55,motive_5
56,motive_5
57,motive_1
58,motive_1
59,motive_2
60,motive_2
61,motive_8
62,motive_8
63,motive_4
64,motive_4
65,motive_2
66,motive_2
67,motive_6
68,motive_6
69,motive_5
70,motive_5
71,motive_3
72,motive_3
73,motive_8
74,motive_8
75,motive_2
76,motive_2
77,motive_4
78,motive_4
79,motive_1
80,motive_1
81,motive_7
82,motive_7
83,motive_6
84,motive_6
85,motive_2
86,motive_2
87,motive_8
88,motive_8
89,motive_7
90,motive_7
91,motive_4
92,motive_4
93,motive_2
94,motive_2
95,motive_1
96,motive_1
97,motive_7
98,motive_7
99,motive_6
