step,motive,satisfaction
0,motive_1,0.14400000000000002
0,motive_2,0.33599999999999997
0,motive_3,-0.02200000000000002
0,motive_4,0.372
0,motive_5,0.208
0,motive_6,-0.123
0,motive_7,0.10799999999999998
0,motive_8,0.39
1,motive_1,-0.19299999999999998
1,motive_2,0.04999999999999993
1,motive_3,0.978
1,motive_4,-0.013000000000000012
1,motive_5,0.33699999999999997
1,motive_6,-0.28600000000000003
1,motive_7,-0.05300000000000002
1,motive_8,0.010000000000000009
2,motive_1,-0.53
2,motive_2,-0.2360000000000001
2,motive_3,1.0
2,motive_4,-0.398
2,motive_5,0.46599999999999997
2,motive_6,-0.44900000000000007
2,motive_7,-0.21400000000000002
2,motive_8,-0.37
3,motive_1,0.47
3,motive_2,-0.5680000000000001
3,motive_3,0.7629999999999999
3,motive_4,-0.42900000000000005
3,motive_5,0.34099999999999997
3,motive_6,-0.528
3,motive_7,-0.22200000000000003
3,motive_8,-0.648
4,motive_1,1.0
4,motive_2,-0.9
4,motive_3,0.5259999999999998
4,motive_4,-0.4600000000000001
4,motive_5,0.21599999999999994
4,motive_6,-0.607
4,motive_7,-0.23000000000000004
4,motive_8,-0.926
5,motive_1,0.6930000000000001
5,motive_2,-1.0
5,motive_3,0.2169999999999998
5,motive_4,-0.3060000000000001
5,motive_5,0.08799999999999994
5,motive_6,-0.649
5,motive_7,-0.44800000000000006
5,motive_8,0.07399999999999995
6,motive_1,0.38600000000000007
6,motive_2,-1.0
6,motive_3,-0.0920000000000002
6,motive_4,-0.15200000000000014
6,motive_5,-0.04000000000000006
6,motive_6,-0.6910000000000001
6,motive_7,-0.6660000000000001
6,motive_8,1.0
7,motive_1,0.13600000000000007
7,motive_2,-1.0
7,motive_3,-0.32600000000000023
7,motive_4,-0.34000000000000014
7,motive_5,-0.484
7,motive_6,0.30899999999999994
7,motive_7,-0.8510000000000002
7,motive_8,0.816
8,motive_1,-0.11399999999999993
8,motive_2,-1.0
8,motive_3,-0.5600000000000003
8,motive_4,-0.5280000000000001
8,motive_5,-0.9279999999999999
8,motive_6,1.0
8,motive_7,-1.0
8,motive_8,0.6319999999999999
9,motive_1,-0.31599999999999995
9,motive_2,-1.0
9,motive_3,-1.0
9,motive_4,0.47199999999999986
9,motive_5,-1.0
9,motive_6,0.812
9,motive_7,-1.0
9,motive_8,0.6439999999999998
10,motive_1,-0.5179999999999999
10,motive_2,-1.0
10,motive_3,-1.0
10,motive_4,1.0
10,motive_5,-1.0
10,motive_6,0.6240000000000001
10,motive_7,-1.0
10,motive_8,0.6559999999999998
11,motive_1,0.4820000000000001
11,motive_2,-1.0
11,motive_3,-1.0
11,motive_4,0.9690000000000001
11,motive_5,-1.0
11,motive_6,0.5450000000000002
11,motive_7,-1.0
11,motive_8,0.3779999999999998
12,motive_1,1.0
12,motive_2,-1.0
12,motive_3,-1.0
12,motive_4,0.9380000000000002
12,motive_5,-1.0
12,motive_6,0.4660000000000002
12,motive_7,-1.0
12,motive_8,0.09999999999999976
13,motive_1,0.8919999999999999
13,motive_2,-1.0
13,motive_3,-1.0
13,motive_4,0.7100000000000002
13,motive_5,-1.0
13,motive_6,0.3520000000000002
13,motive_7,0.0
13,motive_8,-0.18900000000000028
14,motive_1,0.7839999999999998
14,motive_2,-1.0
14,motive_3,-1.0
14,motive_4,0.4820000000000002
14,motive_5,-1.0
14,motive_6,0.2380000000000002
14,motive_7,1.0
14,motive_8,-0.4780000000000003
15,motive_1,0.4589999999999998
15,motive_2,-1.0
15,motive_3,-0.9710000000000001
15,motive_4,0.1710000000000002
15,motive_5,0.0
15,motive_6,-0.23499999999999976
15,motive_7,0.599
15,motive_8,-0.7770000000000004
16,motive_1,0.13399999999999979
16,motive_2,-1.0
16,motive_3,-0.9420000000000002
16,motive_4,-0.1399999999999998
16,motive_5,1.0
16,motive_6,-0.7079999999999997
16,motive_7,0.19799999999999995
16,motive_8,-1.0
17,motive_1,-0.11600000000000021
17,motive_2,-1.0
17,motive_3,-1.0
17,motive_4,-0.3279999999999998
17,motive_5,0.556
17,motive_6,0.29200000000000026
17,motive_7,0.012999999999999956
17,motive_8,-1.0
18,motive_1,-0.3660000000000002
18,motive_2,-1.0
18,motive_3,-1.0
18,motive_4,-0.5159999999999998
18,motive_5,0.11200000000000007
18,motive_6,1.0
18,motive_7,-0.17200000000000004
18,motive_8,-1.0
19,motive_1,-0.6730000000000003
19,motive_2,-1.0
19,motive_3,-1.0
19,motive_4,-0.3619999999999998
19,motive_5,-0.01599999999999993
19,motive_6,0.958
19,motive_7,-0.39
19,motive_8,0.0
20,motive_1,-0.9800000000000002
20,motive_2,-1.0
20,motive_3,-1.0
20,motive_4,-0.20799999999999985
20,motive_5,-0.14399999999999993
20,motive_6,0.9159999999999999
20,motive_7,-0.6080000000000001
20,motive_8,1.0
21,motive_1,-1.0
21,motive_2,0.0
21,motive_3,-1.0
21,motive_4,-0.3719999999999999
21,motive_5,-0.32599999999999996
21,motive_6,0.613
21,motive_7,-1.0
21,motive_8,0.642
22,motive_1,-1.0
22,motive_2,1.0
22,motive_3,-1.0
22,motive_4,-0.5359999999999999
22,motive_5,-0.508
22,motive_6,0.31
22,motive_7,-1.0
22,motive_8,0.28400000000000003
23,motive_1,-1.0
23,motive_2,0.714
23,motive_3,0.0
23,motive_4,-0.9209999999999999
23,motive_5,-0.379
23,motive_6,0.14700000000000002
23,motive_7,-1.0
23,motive_8,-0.09599999999999997
24,motive_1,-1.0
24,motive_2,0.42799999999999994
24,motive_3,1.0
24,motive_4,-1.0
24,motive_5,-0.25
24,motive_6,-0.015999999999999986
24,motive_7,-1.0
24,motive_8,-0.476
25,motive_1,0.0
25,motive_2,0.09599999999999992
25,motive_3,0.7629999999999999
25,motive_4,-1.0
25,motive_5,-0.375
25,motive_6,-0.09499999999999999
25,motive_7,-1.0
25,motive_8,-0.754
26,motive_1,1.0
26,motive_2,-0.2360000000000001
26,motive_3,0.5259999999999998
26,motive_4,-1.0
26,motive_5,-0.5
26,motive_6,-0.174
26,motive_7,-1.0
26,motive_8,-1.0
27,motive_1,0.8919999999999999
27,motive_2,-0.8560000000000001
27,motive_3,0.3649999999999998
27,motive_4,-1.0
27,motive_5,-0.801
27,motive_6,-0.288
27,motive_7,0.0
27,motive_8,-1.0
28,motive_1,0.7839999999999998
28,motive_2,-1.0
28,motive_3,0.2039999999999998
28,motive_4,-1.0
28,motive_5,-1.0
28,motive_6,-0.40199999999999997
28,motive_7,1.0
28,motive_8,-1.0
29,motive_1,0.5339999999999998
29,motive_2,-1.0
29,motive_3,-0.03000000000000022
29,motive_4,-1.0
29,motive_5,-1.0
29,motive_6,0.5980000000000001
29,motive_7,0.815
29,motive_8,-1.0
30,motive_1,0.28399999999999986
30,motive_2,-1.0
30,motive_3,-0.26400000000000023
30,motive_4,-1.0
30,motive_5,-1.0
30,motive_6,1.0
30,motive_7,0.6299999999999999
30,motive_8,-1.0
31,motive_1,-0.07700000000000012
31,motive_2,0.0
31,motive_3,-0.47900000000000026
31,motive_4,-1.0
31,motive_5,-1.0
31,motive_6,0.6970000000000001
31,motive_7,0.0809999999999999
31,motive_8,-1.0
32,motive_1,-0.4380000000000001
32,motive_2,1.0
32,motive_3,-0.6940000000000003
32,motive_4,-1.0
32,motive_5,-1.0
32,motive_6,0.39400000000000013
32,motive_7,-0.4680000000000001
32,motive_8,-1.0
33,motive_1,-0.7750000000000001
33,motive_2,0.714
33,motive_3,0.3059999999999997
33,motive_4,-1.0
33,motive_5,-0.871
33,motive_6,0.2310000000000001
33,motive_7,-0.6290000000000001
33,motive_8,-1.0
34,motive_1,-1.0
34,motive_2,0.42799999999999994
34,motive_3,1.0
34,motive_4,-1.0
34,motive_5,-0.742
34,motive_6,0.06800000000000009
34,motive_7,-0.79
34,motive_8,-1.0
35,motive_1,-1.0
35,motive_2,-0.19200000000000006
35,motive_3,0.839
35,motive_4,-1.0
35,motive_5,-1.0
35,motive_6,-0.045999999999999916
35,motive_7,0.20999999999999996
