step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,0.918,0.18,0.291,0.031,0.17,0.528,0.337,0.3
1,1.0,0.267,0.361,0.062,0.23,0.601,0.427,0.429
2,0.98,0.24,0.331,0.035,0.21,0.588,0.417,0.416
3,0.96,0.213,0.301,0.008,0.19,0.575,0.407,0.403
4,0.94,0.186,0.271,-0.019,0.17,0.562,0.397,0.39
5,0.978,0.259,0.383,0.981,0.292,0.649,0.445,0.377
6,1.0,0.332,0.495,1.0,0.414,0.736,0.493,0.364
7,0.98,0.305,0.465,0.973,0.394,0.723,0.483,0.351
8,0.96,0.278,0.435,0.946,0.374,0.71,0.473,0.338
9,0.94,0.251,0.405,0.919,0.354,0.697,0.463,0.325
10,0.92,0.224,0.375,0.892,0.334,0.684,0.453,0.312
11,0.9,0.197,0.345,0.865,0.314,0.671,0.443,0.299
12,0.88,0.17,0.315,0.838,0.294,0.658,0.433,0.286
13,0.86,0.143,0.285,0.811,0.274,0.645,0.423,0.273
14,0.84,0.116,0.255,0.784,0.254,0.632,0.413,0.26
15,0.82,0.089,0.225,0.757,0.234,0.619,0.403,0.247
16,0.8,0.062,0.195,0.73,0.214,0.606,0.393,0.234
17,0.78,0.035,0.165,0.703,0.194,0.593,0.383,0.221
18,0.76,0.008,0.135,0.676,0.174,0.58,0.373,0.208
19,0.74,-0.019,0.105,0.649,0.154,0.567,0.363,0.195
20,0.834,0.981,0.189,0.722,0.22,0.634,0.439,0.282
21,0.928,1.0,0.273,0.795,0.286,0.701,0.515,0.369
22,0.908,0.973,0.243,0.768,0.266,0.688,0.505,0.356
23,0.888,0.946,0.213,0.741,0.246,0.675,0.495,0.343
24,0.868,0.919,0.183,0.714,0.226,0.662,0.485,0.33
25,0.848,0.892,0.153,0.687,0.206,0.649,0.475,0.317
26,0.828,0.865,0.123,0.66,0.186,0.636,0.465,0.304
27,0.808,0.838,0.093,0.633,0.166,0.623,0.455,0.291
28,0.788,0.811,0.063,0.606,0.146,0.61,0.445,0.278
29,0.768,0.784,0.033,0.579,0.126,0.597,0.435,0.265
30,0.748,0.757,0.003,0.552,0.106,0.584,0.425,0.252
31,0.728,0.73,-0.027,0.525,0.086,0.571,0.415,0.239
32,0.808,0.817,0.973,0.64,0.166,0.644,0.485,0.284
33,0.888,0.904,1.0,0.755,0.246,0.717,0.555,0.329
34,0.868,0.877,0.97,0.728,0.226,0.704,0.545,0.316
35,0.848,0.85,0.94,0.701,0.206,0.691,0.535,0.303
36,0.828,0.823,0.91,0.674,0.186,0.678,0.525,0.29
37,0.808,0.796,0.88,0.647,0.166,0.665,0.515,0.277
38,0.788,0.769,0.85,0.62,0.146,0.652,0.505,0.264
39,0.768,0.742,0.82,0.593,0.126,0.639,0.495,0.251
40,0.748,0.715,0.79,0.566,0.106,0.626,0.485,0.238
41,0.728,0.688,0.76,0.539,0.086,0.613,0.475,0.225
42,0.708,0.661,0.73,0.512,0.066,0.6,0.465,0.212
43,0.688,0.634,0.7,0.485,0.046,0.587,0.455,0.199
44,0.668,0.607,0.67,0.458,0.026,0.574,0.445,0.186
45,0.648,0.58,0.64,0.431,0.006,0.561,0.435,0.173
46,0.628,0.553,0.61,0.404,-0.014,0.548,0.425,0.16
47,0.688,0.612,0.68,0.519,0.986,0.649,0.515,0.205
48,0.748,0.671,0.75,0.634,1.0,0.75,0.605,0.25
49,0.728,0.644,0.72,0.607,0.98,0.737,0.595,0.237
50,0.708,0.617,0.69,0.58,0.96,0.724,0.585,0.224
51,0.688,0.59,0.66,0.553,0.94,0.711,0.575,0.211
52,0.668,0.563,0.63,0.526,0.92,0.698,0.565,0.198
53,0.648,0.536,0.6,0.499,0.9,0.685,0.555,0.185
54,0.628,0.509,0.57,0.472,0.88,0.672,0.545,0.172
55,0.608,0.482,0.54,0.445,0.86,0.659,0.535,0.159
56,0.588,0.455,0.51,0.418,0.84,0.646,0.525,0.146
57,0.568,0.428,0.48,0.391,0.82,0.633,0.515,0.133
