step,active_behavior
0,motive_8
1,motive_8
2,motive_4
3,motive_4
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,motive_3
22,motive_3
23,motive_6
24,motive_6
25,
26,
27,motive_1
28,motive_1
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,motive_5
43,motive_5
44,
45,
46,
47,
48,
49,
50,motive_8
51,motive_8
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,motive_3
67,motive_3
68,motive_7
69,motive_7
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,motive_2
84,motive_2
85,
86,
87,
88,
89,
90,
91,
92,motive_5
93,motive_5
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,motive_1
106,motive_1
107,motive_4
108,motive_4
109,motive_7
110,motive_7
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,motive_3
128,motive_3
129,
130,
131,motive_7
132,motive_7
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,motive_3
150,motive_3
151,
152,
153,motive_7
154,motive_7
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,motive_2
165,motive_2
166,
167,
168,
169,
170,
171,
172,motive_4
173,motive_4
174,
175,
176,
177,motive_7
178,motive_7
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,motive_3
195,motive_3
196,
197,
198,
199,motive_6
200,motive_6
201,
202,
203,
204,
205,
206,
207,
208,motive_1
209,motive_1
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,
221,
222,motive_5
223,motive_5
224,
225,
226,motive_8
227,motive_8
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,motive_3
240,motive_3
241,
242,
243,motive_7
244,motive_7
245,
246,
247,
248,
249,
250,
251,
252,
253,motive_2
254,motive_2
255,
256,
257,
258,
259,
260,
261,motive_4
262,motive_4
263,
264,
265,
266,
267,motive_7
268,motive_7
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,motive_3
284,motive_3
285,
286,
287,
288,
289,motive_7
290,motive_7
291,
292,
293,
294,
295,
296,
297,
298,
299,
300,
301,
302,
303,
304,
305,motive_3
306,motive_3
307,
308,
309,
310,
311,motive_7
312,motive_7
313,
314,
315,
316,
317,
318,motive_2
319,motive_2
320,
321,
322,
323,
324,
325,
326,motive_5
327,motive_5
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,motive_1
341,motive_1
342,motive_4
343,motive_4
344,
345,
346,
347,
348,
349,
350,motive_7
351,motive_7
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,motive_3
365,motive_3
366,
367,
368,
369,
370,
371,
372,motive_7
373,motive_7
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,motive_3
387,motive_3
388,
389,
390,
391,
392,
393,motive_6
394,motive_6
395,
396,
397,
398,
399,
400,motive_2
401,motive_2
402,
403,
404,
405,
406,
407,
408,
409,motive_7
410,motive_7
411,
412,
413,
414,
415,motive_4
416,motive_4
417,
418,
419,
420,
421,
422,
423,
424,
425,
426,
427,motive_8
428,motive_8
429,
430,
431,
432,
433,
434,
435,
436,
437,motive_3
438,motive_3
439,
440,
441,
442,
443,
444,
445,
446,motive_7
447,motive_7
448,
449,
450,
451,
452,
453,
454,
455,
456,
457,
458,
459,motive_3
460,motive_3
461,
462,
463,
464,
465,
466,
467,
468,motive_7
469,motive_7
470,
471,
472,
473,motive_2
474,motive_2
475,motive_5
476,motive_5
477,
478,
479,
480,
481,
482,
483,
484,
485,
486,
487,
488,
489,motive_1
490,motive_1
491,
492,
493,
494,
495,
496,
497,motive_4
498,motive_4
499,
