step,active_behavior
0,motive_6
1,motive_6
2,motive_2
3,motive_2
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,motive_3
16,motive_3
17,
18,
19,
20,
21,motive_7
22,motive_7
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,motive_4
42,motive_4
43,motive_8
44,motive_8
45,motive_4
46,motive_4
47,motive_8
48,motive_8
49,motive_4
50,motive_4
51,motive_8
52,motive_8
53,motive_4
54,motive_4
55,motive_8
56,motive_8
57,motive_4
58,motive_4
59,motive_8
60,motive_8
61,motive_4
62,motive_4
63,motive_8
64,motive_8
65,motive_4
66,motive_4
67,motive_8
68,motive_8
69,motive_4
70,motive_4
71,motive_8
72,motive_8
73,motive_4
74,motive_4
75,motive_8
76,motive_8
77,motive_4
78,motive_4
79,motive_8
80,motive_8
81,motive_4
82,motive_4
83,motive_8
84,motive_8
85,motive_4
86,motive_4
87,motive_8
88,motive_8
89,motive_4
90,motive_4
91,motive_8
92,motive_8
93,motive_4
94,motive_4
95,motive_8
96,motive_8
97,motive_4
98,motive_4
99,motive_8
100,motive_8
101,motive_4
102,motive_4
103,motive_8
104,motive_8
105,motive_4
106,motive_4
107,motive_8
108,motive_8
109,motive_4
110,motive_4
111,motive_8
112,motive_8
113,motive_4
114,motive_4
115,motive_8
116,motive_8
117,motive_4
118,motive_4
119,motive_8
120,motive_8
121,motive_4
122,motive_4
123,motive_8
124,motive_8
125,motive_4
126,motive_4
127,motive_8
128,motive_8
129,motive_4
130,motive_4
131,motive_8
132,motive_8
133,motive_4
134,motive_4
135,motive_8
136,motive_8
137,motive_4
138,motive_4
139,motive_8
140,motive_8
141,motive_4
142,motive_4
143,motive_8
144,motive_8
145,motive_4
146,motive_4
147,motive_8
148,motive_8
149,motive_4
150,motive_4
151,motive_8
152,motive_8
153,motive_4
154,motive_4
155,motive_8
156,motive_8
157,motive_4
158,motive_4
159,motive_8
160,motive_8
161,motive_4
162,motive_4
163,motive_8
164,motive_8
165,motive_4
166,motive_4
167,motive_8
168,motive_8
169,motive_4
170,motive_4
171,motive_8
172,motive_8
173,motive_4
174,motive_4
175,motive_8
176,motive_8
177,motive_4
178,motive_4
179,motive_8
180,motive_8
181,motive_4
182,motive_4
183,motive_8
184,motive_8
185,motive_4
186,motive_4
187,motive_8
188,motive_8
189,motive_4
190,motive_4
191,motive_8
192,motive_8
193,motive_4
194,motive_4
195,motive_8
196,motive_8
197,motive_4
198,motive_4
199,motive_8
200,motive_8
201,motive_4
202,motive_4
203,motive_8
204,motive_8
205,motive_4
206,motive_4
207,motive_8
208,motive_8
209,motive_4
210,motive_4
211,motive_8
212,motive_8
213,motive_4
214,motive_4
215,motive_8
216,motive_8
217,motive_4
218,motive_4
219,motive_8
220,motive_8
221,motive_4
222,motive_4
223,motive_8
224,motive_8
225,motive_4
226,motive_4
227,motive_8
228,motive_8
229,motive_4
230,motive_4
231,motive_8
232,motive_8
233,motive_4
234,motive_4
235,motive_8
236,motive_8
237,motive_4
238,motive_4
239,motive_8
240,motive_8
241,motive_4
242,motive_4
243,motive_8
244,motive_8
245,motive_4
246,motive_4
247,motive_8
248,motive_8
249,motive_4
250,motive_4
251,motive_8
252,motive_8
253,motive_4
254,motive_4
255,motive_8
256,motive_8
257,motive_4
258,motive_4
259,motive_8
260,motive_8
261,motive_4
262,motive_4
263,motive_8
264,motive_8
265,motive_4
266,motive_4
267,motive_8
268,motive_8
269,motive_4
270,motive_4
271,motive_8
272,motive_8
