step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,-0.084,0.414,0.97,0.537,0.404,0.113,0.102,0.158
1,-0.244,0.32,1.0,0.443,0.244,0.033,0.202,0.078
2,0.756,0.262,0.83,0.385,0.334,-0.011,0.052,0.034
3,1.0,0.204,0.66,0.327,0.424,-0.055,-0.098,-0.01
4,0.949,0.287,0.563,0.21,0.373,0.945,-0.175,-0.113
5,0.898,0.37,0.466,0.093,0.322,1.0,-0.252,-0.216
6,0.738,0.276,0.546,-0.001,0.162,0.92,0.748,-0.296
7,0.578,0.182,0.626,-0.095,0.002,0.84,1.0,-0.376
8,0.527,0.065,0.529,-0.012,-0.049,0.737,0.923,0.624
9,0.476,-0.052,0.432,0.071,-0.1,0.634,0.846,1.0
10,0.566,-0.11,0.262,0.013,0.9,0.59,0.696,0.956
11,0.656,-0.168,0.092,-0.045,1.0,0.546,0.546,0.912
12,0.605,0.832,-0.005,-0.162,0.949,0.643,0.469,0.809
13,0.554,1.0,-0.102,-0.279,0.898,0.74,0.392,0.706
14,0.503,0.883,-0.199,0.721,0.847,0.637,0.315,0.803
15,0.452,0.766,-0.296,1.0,0.796,0.534,0.238,0.9
16,0.292,0.672,0.704,0.906,0.636,0.454,0.338,0.82
17,0.132,0.578,1.0,0.812,0.476,0.374,0.438,0.74
18,0.122,0.561,0.98,0.795,0.466,0.371,0.438,0.737
19,0.112,0.544,0.96,0.778,0.456,0.368,0.438,0.734
20,0.102,0.527,0.94,0.761,0.446,0.365,0.438,0.731
21,0.092,0.51,0.92,0.744,0.436,0.362,0.438,0.728
22,0.082,0.493,0.9,0.727,0.426,0.359,0.438,0.725
23,0.072,0.476,0.88,0.71,0.416,0.356,0.438,0.722
24,0.062,0.459,0.86,0.693,0.406,0.353,0.438,0.719
25,0.052,0.442,0.84,0.676,0.396,0.35,0.438,0.716
26,0.042,0.425,0.82,0.659,0.386,0.347,0.438,0.713
27,0.032,0.408,0.8,0.642,0.376,0.344,0.438,0.71
28,0.022,0.391,0.78,0.625,0.366,0.341,0.438,0.707
29,0.012,0.374,0.76,0.608,0.356,0.338,0.438,0.704
30,0.002,0.357,0.74,0.591,0.346,0.335,0.438,0.701
31,-0.008,0.34,0.72,0.574,0.336,0.332,0.438,0.698
32,0.992,0.282,0.55,0.516,0.426,0.288,0.288,0.654
33,1.0,0.224,0.38,0.458,0.516,0.244,0.138,0.61
34,0.99,0.207,0.36,0.441,0.506,0.241,0.138,0.607
35,0.98,0.19,0.34,0.424,0.496,0.238,0.138,0.604
36,0.97,0.173,0.32,0.407,0.486,0.235,0.138,0.601
37,0.96,0.156,0.3,0.39,0.476,0.232,0.138,0.598
38,0.95,0.139,0.28,0.373,0.466,0.229,0.138,0.595
39,0.94,0.122,0.26,0.356,0.456,0.226,0.138,0.592
40,0.93,0.105,0.24,0.339,0.446,0.223,0.138,0.589
41,0.92,0.088,0.22,0.322,0.436,0.22,0.138,0.586
42,0.91,0.071,0.2,0.305,0.426,0.217,0.138,0.583
43,0.9,0.054,0.18,0.288,0.416,0.214,0.138,0.58
44,0.89,0.037,0.16,0.271,0.406,0.211,0.138,0.577
45,0.88,0.02,0.14,0.254,0.396,0.208,0.138,0.574
46,0.87,0.003,0.12,0.237,0.386,0.205,0.138,0.571
47,0.86,-0.014,0.1,0.22,0.376,0.202,0.138,0.568
48,0.809,0.986,0.003,0.103,0.325,0.299,0.061,0.465
49,0.758,1.0,-0.094,-0.014,0.274,0.396,-0.016,0.362
50,0.598,0.906,0.906,-0.108,0.114,0.316,0.084,0.282
51,0.438,0.812,1.0,-0.202,-0.046,0.236,0.184,0.202
52,0.387,0.695,0.903,0.798,-0.097,0.133,0.107,0.299
53,0.336,0.578,0.806,1.0,-0.148,0.03,0.03,0.396
54,0.426,0.52,0.636,0.942,0.852,-0.014,-0.12,0.352
55,0.516,0.462,0.466,0.884,1.0,-0.058,-0.27,0.308
56,0.356,0.368,0.546,0.79,0.84,-0.138,0.73,0.228
57,0.196,0.274,0.626,0.696,0.68,-0.218,1.0,0.148
58,0.145,0.357,0.529,0.579,0.629,0.782,0.923,0.045
59,0.094,0.44,0.432,0.462,0.578,1.0,0.846,-0.058
60,0.043,0.323,0.335,0.545,0.527,0.897,0.769,0.942
61,-0.008,0.206,0.238,0.628,0.476,0.794,0.692,1.0
62,0.992,0.148,0.068,0.57,0.566,0.75,0.542,0.956
63,1.0,0.09,-0.102,0.512,0.656,0.706,0.392,0.912
64,0.84,-0.004,0.898,0.418,0.496,0.626,0.492,0.832
