structure,count
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A,91
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B,49
A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C,22
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A,18
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C→C→B→B→A,17
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A,12
A→A→B→B→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B,11
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C,10
A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→B→B→C→C→B,9
A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B,9
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B,8
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→C→C→A,7
A→A→B→B→C→C→D→D→B→B→C→C→B→B→C→C→D→D→B→B→C,7
A→A→B→B→C→C→D→D→B→B→C→C→D→D→B→B→C→C→D→D→B,7
A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→C→C→A→A→B,7
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→C,7
A→A→B→B→A→A→C→C→B→B→A→A→C→C→B→B→A→A→C→C→B,7
A→A→B→B→C→C→D→D→A→A→B→B→C→C→D→D→A→A→B→B→C,7
A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B,6
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→C→C→A,6
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→C,6
A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C,6
A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→B→B→A→A→B,5
A→A→B→B→C→C→D→D→A→A→B→B→C→C→D→D→B→B→A→A→C,5
A→A→B→B→C→C→A→A→D→D→B→B→A→A→C→C→D→D→A→A→B,5
A→A→B→B→C→C→A→A→B→B→A→A→C→C→A→A→B→B→C→C→A,5
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B→B→A→A→C,4
A→A→B→B→C→C→B→B→A→A→C→C→B→B→C→C→A→A→B→B→C,4
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→C→C→B,4
A→A→B→B→C→C→D→D→B→B→A→A→B→B→C→C→D→D→B→B→A,4
A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→C→C→B→B→A,4
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C→C→A→A→B,4
A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→B→B→D→D→C,4
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B→B→A→A→B,4
A→A→B→B→A→A→C→C→B→B→A→A→D→D→B→B→A→A→B→B→A,3
A→A→B→B→C→C→A→A→C→C→B→B→A→A→C→C→A→A→B→B→C,3
A→A→B→B→A→A→C→C→B→B→A→A→B→B→C→C→A→A→B→B→A,3
A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→D→D→B→B→A,3
A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→B→B→C→C→D,3
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→A→A→C→C→B,3
A→A→B→B→C→C→D→D→A→A→B→B→A→A→B→B→C→C→D→D→A,3
A→A→B→B→C→C→A→A→B→B→C→C→D→D→A→A→C→C→B→B→A,3
A→A→B→B→A→A→B→B→C→C→D→D→A→A→B→B→A→A→B→B→C,3
A→A→B→B→C→C→B→B→A→A→B→B→C→C→B→B→A→A→B→B→C,3
A→A→B→B→C→C→D→D→A→A→C→C→B→B→D→D→C→C→A→A→B,3
A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→A→A→B→B→D,3
A→A→B→B→C→C→A→A→B→B→D→D→C→C→B→B→A→A→C→C→B,3
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→A→A→C,3
A→A→B→B→A→A→C→C→D→D→B→B→A→A→C→C→D→D→B→B→A,3
A→A→B→B→C→C→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B,3
A→A→B→B→C→C→D→D→A→A→C→C→D→D→A→A→C→C→D→D→A,3
A→A→B→B→C→C→A→A→B→B→C→C→D→D→A→A→B→B→C→C→A,3
A→A→B→B→C→C→B→B→C→C→D→D→B→B→C→C→A→A→B→B→C,3
A→A→B→B→C→C→B→B→A→A→C→C→B→B→C→C→B→B→A→A→C,3
A→A→B→B→C→C→A→A→C→C→A→A→B→B→A→A→C→C→B→B→A,3
A→A→B→B→C→C→D→D→E→E→C→C→D→D→E→E→C→C→D→D→E,3
A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B,3
A→A→B→B→C→C→A→A→B→B→A→A→C→C→A→A→B→B→A→A→B,3
A→A→B→B→C→C→D→D→C→C→D→D→C→C→D→D→C→C→D→D→C,3
A→A→B→B→C→C→A→A→B→B→C→C→A→A→C→C→B→B→A→A→C,2
A→A→B→B→A→A→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B,2
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→D→D→A→A→B,2
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→C→C→A→A→B,2
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C,2
A→A→B→B→C→C→D→D→A→A→C→C→B→B→A→A→D→D→C→C→B,2
A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→B→B→C→C→A,2
A→A→B→B→C→C→A→A→D→D→B→B→A→A→C→C→B→B→A→A→B,2
A→A→B→B→A→A→C→C→B→B→A→A→C→C→B→B→A→A→B→B→A,2
A→A→B→B→C→C→A→A→B→B→C→C→B→B→C→C→A→A→B→B→C,2
A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→A→A→B,2
A→A→B→B→C→C→D→D→A→A→B→B→A→A→B→B→D→D→A→A→B,2
A→A→B→B→C→C→D→D→B→B→A→A→B→B→A→A→B→B→A→A→B,2
A→A→B→B→C→C→A→A→D→D→C→C→A→A→B→B→A→A→C→C→D,2
A→A→B→B→C→C→D→D→B→B→A→A→C→C→D→D→B→B→A→A→B,2
A→A→B→B→C→C→D→D→B→B→C→C→D→D→A→A→B→B→C→C→D,2
A→A→B→B→C→C→D→D→B→B→D→D→C→C→B→B→D→D→C→C→B,2
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→D→D→C,2
A→A→B→B→C→C→B→B→A→A→D→D→B→B→C→C→A→A→B→B→A,2
A→A→B→B→A→A→C→C→A→A→B→B→A→A→B→B→A→A→C→C→B,2
A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→D→D→A→A→B,2
A→A→B→B→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C,2
A→A→B→B→C→C→D→D→A→A→B→B→C→C→D→D→C→C→B→B→A,2
A→A→B→B→C→C→A→A→D→D→C→C→A→A→D→D→C→C→A→A→D,2
A→A→B→B→C→C→B→B→A→A→C→C→B→B→D→D→C→C→B→B→A,2
A→A→B→B→C→C→B→B→A→A→D→D→C→C→B→B→A→A→B→B→C,2
A→A→B→B→C→C→A→A→B→B→A→A→D→D→C→C→A→A→B→B→A,2
A→A→B→B→A→A→B→B→C→C→D→D→E→E→A→A→B→B→A→A→B,2
A→A→B→B→C→C→D→D→A→A→B→B→C→C→B→B→A→A→C→C→B,2
A→A→B→B→A→A→C→C→D→D→C→C→D→D→C→C→D→D→C→C→D,2
A→A→B→B→C→C→A→A→B→B→D→D→C→C→A→A→B→B→C→C→A,2
A→A→B→B→C→C→A→A→D→D→E→E→C→C→A→A→D→D→B→B→A,2
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C→C→D→D→C,2
A→A→B→B→C→C→A→A→D→D→C→C→A→A→B→B→C→C→A→A→D,2
A→A→B→B→C→C→A→A→C→C→A→A→B→B→C→C→A→A→B→B→C,2
A→A→B→B→C→C→B→B→C→C→D→D→B→B→C→C→B→B→C→C→B,2
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→C→C→B,2
A→A→B→B→C→C→A→A→D→D→A→A→C→C→B→B→D→D→A→A→C,2
A→A→B→B→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→A,2
A→A→B→B→C→C→A→A→D→D→B→B→A→A→C→C→B→B→A→A→C,2
A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B→B→C→C→A,2
A→A→B→B→C→C→D→D→A→A→C→C→B→B→A→A→C→C→D→D→A,2
A→A→B→B→A→A→C→C→D→D→B→B→A→A→C→C→D→D→A→A→B,2
A→A→B→B→C→C→D→D→E→E→D→D→E→E→D→D→E→E→D→D→E,2
A→A→B→B→A→A→C→C→D→D→A→A→B→B→A→A→C→C→B→B→A,2
A→A→B→B→A→A→B→B→A→A→C→C→D→D→E→E→C→C→D→D→E,2
A→A→B→B→A→A→C→C→D→D→C→C→A→A→B→B→A→A→B→B→A,2
A→A→B→B→A→A→B→B→A→A→C→C→D→D→B→B→A→A→B→B→A,2
A→A→B→B→C→C→A→A→D→D→B→B→C→C→A→A→D→D→A→A→C,2
A→A→B→B→C→C→A→A→D→D→B→B→A→A→C→C→B→B→A→A→D,2
A→A→B→B→C→C→D→D→B→B→C→C→A→A→B→B→C→C→D→D→B,2
A→A→B→B→C→C→A→A→B→B→A→A→B→B→D→D→C→C→A→A→B,2
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→B→B→A→A→C,2
A→A→B→B→C→C→D→D→A→A→C→C→D→D→B→B→A→A→C→C→D,2
A→A→B→B→C→C→B→B→A→A→C→C→B→B→C→C→B→B→A→A→B,2
