seed,n_motives,steps,decay_rate,growth_rate,inter_mean,inter_sd,sat_mean,sat_sd,has_pattern,pattern_length,pattern_occurrences,pattern_structure
0,8,2000,0.34119808388360295,1,0.2,0.3,0.2,0.3,True,21,46,A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A
1,8,2000,0.3588859342379301,1,0.2,0.3,0.2,0.3,True,21,7,A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B
2,8,2000,0.3171181476121609,1,0.2,0.3,0.2,0.3,True,21,55,A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B→B→A→A→B
3,8,2000,0.26951837689391955,1,0.2,0.3,0.2,0.3,True,21,23,A→A→B→B→C→C→A→A→D→D→B→B→C→C→A→A→D→D→B→B→C
4,8,2000,0.3574571946729065,1,0.2,0.3,0.2,0.3,True,21,37,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C
5,8,2000,0.3916718374686618,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→B→B→A→A→D→D→B→B→C→C→A→A→B→B→C
6,8,2000,0.401014328393578,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→C
7,8,2000,0.3323823078735448,1,0.2,0.3,0.2,0.3,True,21,3,A→A→B→B→C→C→A→A→B→B→A→A→C→C→D→D→A→A→B→B→C
8,8,2000,0.3203217679513454,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→A→A→B→B→C→C→A→A→D→D→C→C→A→A→B
9,8,2000,0.32949293404750707,1,0.2,0.3,0.2,0.3,True,21,7,A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→D→D→B
10,8,2000,0.36838346400480765,1,0.2,0.3,0.2,0.3,True,21,3,A→A→B→B→C→C→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B
11,8,2000,0.33698760728398025,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→A→A→C→C→A→A→B→B→D→D→A→A→B→B→D→D→A
12,8,2000,0.304270309792178,1,0.2,0.3,0.2,0.3,True,21,18,A→A→B→B→C→C→D→D→A→A→B→B→C→C→E→E→C→C→B→B→C
13,8,2000,0.37915553763982396,1,0.2,0.3,0.2,0.3,True,21,18,A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A
14,8,2000,0.2856900414002925,1,0.2,0.3,0.2,0.3,True,21,4,A→A→B→B→C→C→D→D→E→E→B→B→D→D→E→E→A→A→D→D→E
15,8,2000,0.3114760580108734,1,0.2,0.3,0.2,0.3,True,21,11,A→A→B→B→C→C→D→D→B→B→A→A→C→C→B→B→A→A→C→C→D
16,8,2000,0.33532987706649425,1,0.2,0.3,0.2,0.3,True,21,130,A→A→B→B→C→C→D→D→A→A→C→C→B→B→D→D→C→C→A→A→B
17,8,2000,0.35347875356470554,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→A→A→B→B→C→C→D→D→A→A→C→C→B→B→E→E→A
18,8,2000,0.3970319104303456,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→A→A→B→B→A→A→C→C→D→D→E→E→D→D→E→E→D
19,8,2000,0.37923495916354455,1,0.2,0.3,0.2,0.3,True,21,14,A→A→B→B→C→C→B→B→A→A→B→B→C→C→B→B→A→A→B→B→C
20,8,2000,0.3075553477246825,1,0.2,0.3,0.2,0.3,True,21,33,A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B
21,8,2000,0.37442011306238626,1,0.2,0.3,0.2,0.3,True,21,258,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A
22,8,2000,0.30099989156865287,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→A→A→C→C→B→B→D→D→A→A→B→B→C→C→A→A→B
23,8,2000,0.354842481264473,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→A→A→B→B→C→C→B→B→C→C→A→A→B→B→C
24,8,2000,0.3866845302861323,1,0.2,0.3,0.2,0.3,True,21,12,A→A→B→B→A→A→C→C→B→B→A→A→C→C→B→B→A→A→B→B→A
25,8,2000,0.33627887170841797,1,0.2,0.3,0.2,0.3,True,21,22,A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→C
26,8,2000,0.30980137677221736,1,0.2,0.3,0.2,0.3,True,21,211,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B
27,8,2000,0.4057668304824165,1,0.2,0.3,0.2,0.3,True,21,27,A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A
28,8,2000,0.33504431240303184,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→C→C→A→A→B
29,8,2000,0.3445134163458904,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→C
30,8,2000,0.3222648974234352,1,0.2,0.3,0.2,0.3,True,21,10,A→A→B→B→C→C→B→B→A→A→C→C→D→D→B→B→C→C→A→A→B
31,8,2000,0.3291508871056365,1,0.2,0.3,0.2,0.3,True,21,2,A→A→B→B→C→C→D→D→B→B→C→C→D→D→B→B→C→C→D→D→B
32,8,2000,0.38254269490815174,1,0.2,0.3,0.2,0.3,True,21,11,A→A→B→B→C→C→D→D→C→C→D→D→C→C→D→D→C→C→D→D→A
33,8,2000,0.2981194404882269,1,0.2,0.3,0.2,0.3,True,21,3,A→A→B→B→C→C→D→D→A→A→B→B→A→A→D→D→B→B→A→A→C
34,8,2000,0.340454906641434,1,0.2,0.3,0.2,0.3,True,21,13,A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→C→C→B→B→A
35,8,2000,0.33434504458955827,1,0.2,0.3,0.2,0.3,True,21,8,A→A→B→B→C→C→D→D→B→B→C→C→B→B→C→C→D→D→B→B→C
36,8,2000,0.31104713481736507,1,0.2,0.3,0.2,0.3,True,21,8,A→A→B→B→C→C→D→D→A→A→C→C→D→D→A→A→C→C→D→D→A
37,8,2000,0.40774917463503424,1,0.2,0.3,0.2,0.3,True,21,13,A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A
38,8,2000,0.3591742205098483,1,0.2,0.3,0.2,0.3,True,21,29,A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C
39,8,2000,0.3493707578061946,1,0.2,0.3,0.2,0.3,True,21,217,A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B
40,8,2000,0.3749970709280645,1,0.2,0.3,0.2,0.3,True,21,44,A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A
