seed,pattern,structure,pattern_length,first_occurrence_step,num_occurrences,occurrence_positions,example_1,example_2,example_3
0,motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_1,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→D→D→A,21,12,2,"[12, 76]",motive_1→motive_1→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_7→motive_7→motive_2→motive_2→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_6→motive_6→motive_1,motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_7→motive_7→motive_2→motive_2→motive_5→motive_5→motive_8→motive_8→motive_6→motive_6→motive_3→motive_3→motive_7→motive_7→motive_1,
1,motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_2,A→A→B→B→C→C→D→D→E→E→F→F→B→B→C→C→D→D→A→A→E,21,18,2,"[18, 102]",motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_2,motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_2→motive_2→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_2→motive_2→motive_4→motive_4→motive_3,
2,motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_8→motive_8→motive_3→motive_3→motive_5,A→A→B→B→C→C→D→D→E→E→F→F→A→A→C→C→G→G→B→B→D,21,26,2,"[26, 190]",motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_6→motive_6→motive_1→motive_1→motive_8→motive_8→motive_3→motive_3→motive_5,motive_3→motive_3→motive_8→motive_8→motive_1→motive_1→motive_6→motive_6→motive_2→motive_2→motive_5→motive_5→motive_3→motive_3→motive_1→motive_1→motive_7→motive_7→motive_8→motive_8→motive_6,
3,motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_6→motive_6→motive_3→motive_3→motive_2→motive_2→motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_1→motive_1→motive_5,A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→B→B→C,21,0,3,"[0, 70, 234]",motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_6→motive_6→motive_3→motive_3→motive_2→motive_2→motive_4→motive_4→motive_8→motive_8→motive_7→motive_7→motive_1→motive_1→motive_5,motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_3→motive_3→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_5→motive_5→motive_4,motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_8→motive_8→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_5→motive_5→motive_4
4,motive_8→motive_8→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_6,A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→C→C→H→H→D,21,14,2,"[14, 242]",motive_8→motive_8→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_6,motive_8→motive_8→motive_1→motive_1→motive_7→motive_7→motive_6→motive_6→motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_2→motive_2→motive_7→motive_7→motive_4→motive_4→motive_6,
5,motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_1,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→C,21,2,2,"[2, 208]",motive_7→motive_7→motive_2→motive_2→motive_1→motive_1→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_1,motive_7→motive_7→motive_6→motive_6→motive_3→motive_3→motive_8→motive_8→motive_4→motive_4→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_1→motive_1→motive_6→motive_6→motive_3,
6,motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_3→motive_3→motive_5→motive_5→motive_8→motive_8→motive_4,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→D→D→B,21,0,2,"[0, 80]",motive_5→motive_5→motive_4→motive_4→motive_2→motive_2→motive_8→motive_8→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_3→motive_3→motive_5→motive_5→motive_8→motive_8→motive_4,motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_5→motive_5→motive_7→motive_7→motive_8→motive_8→motive_2→motive_2→motive_1→motive_1→motive_4→motive_4→motive_5→motive_5→motive_6,
7,motive_8→motive_8→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_4→motive_4→motive_1,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→E,21,22,2,"[22, 180]",motive_8→motive_8→motive_4→motive_4→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_5→motive_5→motive_2→motive_2→motive_8→motive_8→motive_7→motive_7→motive_4→motive_4→motive_1,motive_4→motive_4→motive_2→motive_2→motive_7→motive_7→motive_3→motive_3→motive_5→motive_5→motive_8→motive_8→motive_1→motive_1→motive_4→motive_4→motive_6→motive_6→motive_2→motive_2→motive_5,
8,motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_3→motive_3→motive_5→motive_5→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→D→D→E,21,0,2,"[0, 10]",motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_3→motive_3→motive_5→motive_5→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_3,motive_5→motive_5→motive_2→motive_2→motive_4→motive_4→motive_1→motive_1→motive_7→motive_7→motive_3→motive_3→motive_6→motive_6→motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_7,
9,motive_8→motive_8→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_5→motive_5→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_8,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→B→B→A,21,42,2,"[42, 94]",motive_8→motive_8→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_4→motive_4→motive_5→motive_5→motive_2→motive_2→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_8,motive_4→motive_4→motive_6→motive_6→motive_1→motive_1→motive_7→motive_7→motive_8→motive_8→motive_3→motive_3→motive_2→motive_2→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_4,
