structural_pattern,num_simulations,simulation_ids
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→C→C→D,23,"35,106,119,146,214,336,363,470,495,508,561,607,617,634,650,680,687,754,769,824,946,964,990"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→C,11,"7,71,183,258,321,346,505,728,966,981,982"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→D,9,"97,549,592,844,846,855,864,909,957"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→D→D→E,8,"42,190,435,449,480,645,809,972"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→C→C→D,8,"166,185,186,194,195,267,465,986"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→B,7,"57,243,394,566,817,859,874"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→B→B→C→C→D,6,"16,59,246,326,554,880"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→C,6,"78,268,322,575,829,889"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→D,6,"169,187,320,744,806,897"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→D→D→C,6,"173,310,474,591,771,971"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→E→E→D,5,"29,81,512,755,856"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→D→D→C→C→E,5,"100,223,254,570,571"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→B→B→A,5,"259,315,531,702,908"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→D,5,"364,637,705,772,967"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→A→A→D,5,"446,812,865,892,903"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→D,4,"6,492,682,777"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→G→G→H,4,"13,632,720,759"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→B→B→H→H→C,4,"18,306,340,656"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→D→D→C→C→B,4,"21,514,848,932"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→D→D→E,4,"22,416,475,948"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→D→D→A,4,"46,247,674,703"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→B→B→A→A→D,4,"54,235,431,884"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→A→A→B,4,"73,244,377,600"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→C→C→H,4,"125,665,736,934"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→D,4,"135,278,389,751"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→D→D→C,4,"143,371,471,795"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→D→D→B→B→C,4,"168,204,522,796"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→C→C→D→D→E,4,"174,615,721,947"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→D→D→A,4,"182,589,657,916"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→H→H→D,4,"202,426,463,493"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→H→H→C,4,"307,406,788,938"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→D→D→E,4,"353,659,805,940"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→D→D→C,4,"483,510,516,724"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→C→C→B,4,"496,791,833,963"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→H→H→A→A→D,3,"15,217,528"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→D→D→G,3,"55,294,787"
A→A→B→B→C→C→D→D→E→E→A→A→B→B→C→C→F→F→G→G→A,3,"67,138,279"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→B→B→D→D→A,3,"88,282,866"
A→A→B→B→C→C→D→D→A→A→E→E→F→F→G→G→B→B→A→A→C,3,"90,521,840"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→C→C→D→D→A→A→E,3,"91,160,276"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→D→D→E,3,"109,129,414"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→C→C→B→B→D→D→A,3,"116,392,823"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→B→B→D,3,"131,649,832"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→G→G→D,3,"147,203,558"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→H→H→A,3,"164,411,803"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→H→H→A→A→C,3,"188,614,672"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→B→B→C→C→D→D→E,3,"193,245,434"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→B→B→D→D→E,3,"215,345,365"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→D→D→C→C→B→B→E,3,"232,333,956"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→C,3,"236,303,372"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→D→D→A,3,"241,622,954"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→C→C→E,3,"252,266,472"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→B→B→G→G→C→C→A,3,"269,654,743"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→D→D,3,"290,701,792"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→B→B→C→C→A,3,"295,335,877"
A→A→B→B→C→C→D→D→E→E→B→B→F→F→G→G→A→A→D→D→B,3,"301,775,827"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C,3,"309,358,725"
A→A→B→B→C→C→D→D→A→A→E→E→F→F→B→B→C→C→D→D→A,3,"314,339,950"
A→A→B→B→C→C→D→D→A→A→E→E→F→F→G→G→B→B→C→C→A,3,"400,695,752"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→D→D→C,3,"464,540,886"
A→A→B→B→C→C→D→D→E→E→A→A→B→B→F→F→G→G→C→C→D,3,"722,726,783"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→B→B→C,3,"756,847,911"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→B→B→C→C→E,2,"8,573"
A→A→B→B→C→C→D→D→E→E→F→F→B→B→A→A→C→C→D→D→G,2,"11,585"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→D→D→C→C→E,2,"12,20"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→D→D→C→C→A,2,"14,987"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→C→C→D,2,"24,993"
A→A→B→B→C→C→D→D→E→E→F→F→C→C→B→B→D→D→A→A→C,2,"25,175"
A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→D→D→B→B→A,2,"28,48"
A→A→B→B→C→C→D→D→E→E→A→A→B→B→F→F→G→G→H→H→C,2,"30,507"
A→A→B→B→C→C→D→D→E→E→A→A→B→B→D→D→C→C→F→F→A,2,"33,713"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→F,2,"37,140"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→G→G→H→H→C,2,"41,802"
A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→B→B→D→D→E,2,"52,132"
A→A→B→B→C→C→D→D→A→A→B→B→E→E→C→C→A→A→B→B→F,2,"53,547"
A→A→B→B→C→C→D→D→A→A→E→E→F→F→D→D→C→C→A→A→B,2,"56,233"
A→A→B→B→C→C→D→D→E→E→F→F→A→A→C→C→B→B→D→D→G,2,"61,861"
