step,active_behavior
0,motive_2
1,motive_2
2,motive_4
3,motive_4
4,motive_7
5,motive_7
6,motive_8
7,motive_8
8,motive_4
9,motive_4
10,motive_2
11,motive_2
12,motive_3
13,motive_3
14,motive_4
15,motive_4
16,motive_8
17,motive_8
18,motive_1
19,motive_1
20,motive_7
21,motive_7
22,motive_8
23,motive_8
24,motive_4
25,motive_4
26,motive_2
27,motive_2
28,motive_4
29,motive_4
30,motive_7
31,motive_7
32,motive_8
33,motive_8
34,motive_3
35,motive_3
36,motive_4
37,motive_4
38,motive_2
39,motive_2
40,motive_3
41,motive_3
42,motive_4
43,motive_4
44,motive_7
45,motive_7
46,motive_8
47,motive_8
48,motive_4
49,motive_4
50,motive_7
51,motive_7
52,motive_1
53,motive_1
54,motive_8
55,motive_8
56,motive_4
57,motive_4
58,motive_3
59,motive_3
60,motive_7
61,motive_7
62,motive_8
63,motive_8
64,motive_4
65,motive_4
66,motive_2
67,motive_2
68,motive_4
69,motive_4
70,motive_7
71,motive_7
72,motive_3
73,motive_3
74,motive_4
75,motive_4
76,motive_2
77,motive_2
78,motive_4
79,motive_4
80,motive_8
81,motive_8
82,motive_3
83,motive_3
84,motive_2
85,motive_2
86,motive_4
87,motive_4
88,motive_3
89,motive_3
90,motive_7
91,motive_7
92,motive_8
93,motive_8
94,motive_4
95,motive_4
96,motive_2
97,motive_2
98,motive_3
99,motive_3
100,motive_4
101,motive_4
102,motive_2
103,motive_2
104,motive_4
105,motive_4
106,motive_2
107,motive_2
108,motive_3
109,motive_3
110,motive_4
111,motive_4
112,motive_7
113,motive_7
114,motive_2
115,motive_2
116,motive_4
117,motive_4
118,motive_3
119,motive_3
120,motive_8
121,motive_8
122,motive_7
123,motive_7
124,motive_4
125,motive_4
126,motive_8
127,motive_8
128,motive_3
129,motive_3
130,motive_2
131,motive_2
132,motive_4
133,motive_4
134,motive_3
135,motive_3
136,motive_2
137,motive_2
138,motive_4
139,motive_4
140,motive_7
141,motive_7
142,motive_8
143,motive_8
144,motive_3
145,motive_3
146,motive_2
147,motive_2
148,motive_4
149,motive_4
150,motive_2
151,motive_2
152,motive_4
153,motive_4
154,motive_7
155,motive_7
156,motive_4
157,motive_4
158,motive_3
159,motive_3
160,motive_8
161,motive_8
162,motive_7
163,motive_7
164,motive_4
165,motive_4
166,motive_2
167,motive_2
168,motive_3
169,motive_3
170,motive_8
171,motive_8
172,motive_4
173,motive_4
174,motive_2
175,motive_2
176,motive_4
177,motive_4
178,motive_3
179,motive_3
180,motive_2
181,motive_2
182,motive_4
183,motive_4
184,motive_7
185,motive_7
186,motive_8
187,motive_8
188,motive_4
189,motive_4
190,motive_3
191,motive_3
192,motive_2
193,motive_2
194,motive_4
195,motive_4
196,motive_2
197,motive_2
198,motive_7
199,motive_7
200,motive_4
201,motive_4
202,motive_3
203,motive_3
204,motive_2
205,motive_2
206,motive_4
207,motive_4
208,motive_8
209,motive_8
210,motive_7
211,motive_7
212,motive_4
213,motive_4
214,motive_3
215,motive_3
216,motive_8
217,motive_8
218,motive_1
219,motive_1
220,motive_7
221,motive_7
222,motive_4
223,motive_4
224,motive_2
225,motive_2
226,motive_3
227,motive_3
228,motive_8
229,motive_8
230,motive_4
231,motive_4
232,motive_3
233,motive_3
234,motive_7
235,motive_7
236,motive_8
237,motive_8
238,motive_4
239,motive_4
240,motive_7
241,motive_7
242,motive_8
243,motive_8
244,motive_4
245,motive_4
246,motive_2
247,motive_2
248,motive_4
249,motive_4
250,motive_2
251,motive_2
252,motive_4
253,motive_4
254,motive_7
255,motive_7
256,motive_1
257,motive_1
258,motive_8
259,motive_8
260,motive_3
261,motive_3
262,motive_4
263,motive_4
264,motive_2
265,motive_2
266,motive_4
267,motive_4
268,motive_7
269,motive_7
270,motive_4
271,motive_4
272,motive_3
273,motive_3
274,motive_8
275,motive_8
276,motive_7
277,motive_7
278,motive_4
279,motive_4
280,motive_2
281,motive_2
282,motive_4
283,motive_4
284,motive_7
285,motive_7
286,motive_8
287,motive_8
288,motive_4
289,motive_4
290,motive_7
291,motive_7
292,motive_2
293,motive_2
294,motive_3
295,motive_3
296,motive_4
297,motive_4
298,motive_2
299,motive_2
300,motive_3
301,motive_3
302,motive_4
303,motive_4
304,motive_2
305,motive_2
306,motive_4
307,motive_4
308,motive_2
309,motive_2
310,motive_3
311,motive_3
312,motive_8
313,motive_8
314,motive_4
315,motive_4
316,motive_3
317,motive_3
318,motive_8
319,motive_8
320,motive_7
321,motive_7
322,motive_4
323,motive_4
324,motive_7
325,motive_7
326,motive_8
327,motive_8
328,motive_1
329,motive_1
330,motive_4
331,motive_4
332,motive_7
333,motive_7
334,motive_2
335,motive_2
336,motive_3
337,motive_3
338,motive_4
339,motive_4
340,motive_8
341,motive_8
342,motive_7
343,motive_7
344,motive_4
345,motive_4
346,motive_2
347,motive_2
348,motive_4
349,motive_4
350,motive_2
351,motive_2
352,motive_4
353,motive_4
354,motive_2
355,motive_2
356,motive_4
357,motive_4
358,motive_2
359,motive_2
360,motive_4
361,motive_4
362,motive_7
363,motive_7
364,motive_3
365,motive_3
366,motive_2
367,motive_2
368,motive_4
369,motive_4
370,motive_3
371,motive_3
372,motive_8
373,motive_8
374,motive_2
375,motive_2
376,motive_4
377,motive_4
378,motive_2
379,motive_2
380,motive_4
381,motive_4
382,motive_2
383,motive_2
384,motive_4
385,motive_4
386,motive_3
387,motive_3
388,motive_2
389,motive_2
390,motive_4
391,motive_4
392,motive_7
393,motive_7
394,motive_8
395,motive_8
396,motive_3
397,motive_3
398,motive_4
399,motive_4
400,motive_2
401,motive_2
402,motive_4
403,motive_4
404,motive_2
405,motive_2
406,motive_4
407,motive_4
408,motive_7
409,motive_7
410,motive_2
411,motive_2
412,motive_4
413,motive_4
414,motive_2
415,motive_2
416,motive_3
417,motive_3
418,motive_4
419,motive_4
420,motive_2
421,motive_2
422,motive_4
423,motive_4
424,motive_2
425,motive_2
426,motive_4
427,motive_4
428,motive_2
429,motive_2
430,motive_7
431,motive_7
432,motive_3
433,motive_3
434,motive_4
435,motive_4
436,motive_8
437,motive_8
438,motive_7
439,motive_7
440,motive_4
441,motive_4
442,motive_8
443,motive_8
444,motive_1
445,motive_1
446,motive_7
447,motive_7
448,motive_8
449,motive_8
450,motive_4
451,motive_4
452,motive_2
453,motive_2
454,motive_4
455,motive_4
456,motive_2
457,motive_2
458,motive_4
459,motive_4
460,motive_2
461,motive_2
462,motive_3
463,motive_3
464,motive_4
465,motive_4
466,motive_8
467,motive_8
468,motive_7
469,motive_7
470,motive_4
471,motive_4
472,motive_8
473,motive_8
474,motive_3
475,motive_3
476,motive_7
477,motive_7
478,motive_4
479,motive_4
480,motive_8
481,motive_8
482,motive_1
483,motive_1
484,motive_7
485,motive_7
486,motive_8
487,motive_8
488,motive_4
489,motive_4
490,motive_2
491,motive_2
492,motive_4
493,motive_4
494,motive_3
495,motive_3
496,motive_2
497,motive_2
498,motive_4
499,motive_4
500,motive_3
501,motive_3
502,motive_7
503,motive_7
504,motive_4
505,motive_4
506,motive_2
507,motive_2
508,motive_8
509,motive_8
510,motive_4
511,motive_4
512,motive_3
513,motive_3
514,motive_2
515,motive_2
516,motive_4
517,motive_4
518,motive_3
519,motive_3
520,motive_8
521,motive_8
522,motive_7
523,motive_7
524,motive_4
525,motive_4
526,motive_2
527,motive_2
528,motive_3
529,motive_3
530,motive_4
531,motive_4
532,motive_2
533,motive_2
534,motive_3
535,motive_3
536,motive_8
537,motive_8
538,motive_4
539,motive_4
540,motive_2
541,motive_2
542,motive_3
543,motive_3
544,motive_4
545,motive_4
546,motive_2
547,motive_2
548,motive_4
549,motive_4
550,motive_7
551,motive_7
552,motive_3
553,motive_3
554,motive_8
555,motive_8
556,motive_2
557,motive_2
558,motive_4
559,motive_4
560,motive_7
561,motive_7
562,motive_3
563,motive_3
564,motive_2
565,motive_2
566,motive_4
567,motive_4
568,motive_2
569,motive_2
570,motive_3
571,motive_3
572,motive_4
573,motive_4
574,motive_2
575,motive_2
576,motive_3
577,motive_3
578,motive_8
579,motive_8
580,motive_4
581,motive_4
582,motive_3
583,motive_3
584,motive_2
585,motive_2
586,motive_4
587,motive_4
588,motive_7
589,motive_7
590,motive_8
591,motive_8
592,motive_3
593,motive_3
594,motive_4
595,motive_4
596,motive_2
597,motive_2
598,motive_4
599,motive_4
600,motive_7
601,motive_7
602,motive_2
603,motive_2
604,motive_4
605,motive_4
606,motive_8
607,motive_8
608,motive_7
609,motive_7
610,motive_4
611,motive_4
612,motive_2
613,motive_2
614,motive_3
615,motive_3
616,motive_8
617,motive_8
618,motive_4
619,motive_4
620,motive_2
621,motive_2
622,motive_7
623,motive_7
624,motive_4
625,motive_4
626,motive_2
