step,active_behavior
0,
1,motive_6
2,motive_6
3,motive_3
4,motive_3
5,motive_4
6,motive_4
7,motive_2
8,motive_2
9,motive_6
10,motive_6
11,motive_5
12,motive_5
13,motive_4
14,motive_4
15,motive_1
16,motive_1
17,motive_7
18,motive_7
19,motive_5
20,motive_5
21,motive_4
22,motive_4
23,motive_6
24,motive_6
25,motive_2
26,motive_2
27,motive_8
28,motive_8
29,motive_5
30,motive_5
31,motive_4
32,motive_4
33,motive_3
34,motive_3
35,motive_6
36,motive_6
37,motive_7
38,motive_7
39,motive_2
40,motive_2
41,motive_8
42,motive_8
43,motive_1
44,motive_1
45,motive_3
46,motive_3
47,motive_7
48,motive_7
49,motive_4
50,motive_4
51,motive_5
52,motive_5
53,motive_7
54,motive_7
55,motive_6
56,motive_6
57,motive_4
58,motive_4
59,motive_2
60,motive_2
61,motive_7
62,motive_7
63,motive_6
64,motive_6
65,motive_5
66,motive_5
67,motive_8
68,motive_8
69,motive_6
70,motive_6
71,motive_2
72,motive_2
73,motive_3
74,motive_3
75,motive_6
76,motive_6
77,motive_7
78,motive_7
79,motive_5
80,motive_5
81,motive_8
82,motive_8
83,motive_6
84,motive_6
85,motive_5
86,motive_5
87,motive_2
88,motive_2
89,motive_1
90,motive_1
91,motive_6
92,motive_6
93,motive_4
94,motive_4
95,motive_3
96,motive_3
97,motive_7
98,motive_7
99,motive_2
