step,active_behavior
0,motive_5
1,motive_5
2,motive_2
3,motive_2
4,motive_8
5,motive_8
6,motive_3
7,motive_3
8,motive_7
9,motive_7
10,motive_1
11,motive_1
12,motive_4
13,motive_4
14,motive_8
15,motive_8
16,motive_2
17,motive_2
18,motive_5
19,motive_5
20,motive_6
21,motive_6
22,motive_2
23,motive_2
24,motive_3
25,motive_3
26,motive_7
27,motive_7
28,motive_1
29,motive_1
30,motive_6
31,motive_6
32,motive_3
33,motive_3
34,motive_1
35,motive_1
36,motive_8
37,motive_8
38,motive_4
39,motive_4
40,motive_5
41,motive_5
42,motive_2
43,motive_2
44,motive_8
45,motive_8
46,motive_6
47,motive_6
48,motive_3
49,motive_3
50,motive_7
51,motive_7
52,motive_1
53,motive_1
54,motive_4
55,motive_4
56,motive_2
57,motive_2
58,motive_7
59,motive_7
60,motive_8
61,motive_8
62,motive_1
63,motive_1
64,motive_6
65,motive_6
66,motive_3
67,motive_3
68,motive_2
69,motive_2
70,motive_4
71,motive_4
72,motive_8
73,motive_8
74,motive_1
75,motive_1
76,motive_5
77,motive_5
78,motive_7
79,motive_7
80,motive_2
81,motive_2
82,motive_4
83,motive_4
84,motive_6
85,motive_6
86,motive_8
87,motive_8
88,motive_1
89,motive_1
90,motive_2
91,motive_2
92,motive_6
93,motive_6
94,motive_3
95,motive_3
96,motive_7
97,motive_7
98,motive_4
99,motive_4
