step,motive,satisfaction
0,motive_1,0.344
0,motive_2,0.478
0,motive_3,-0.02200000000000002
0,motive_4,0.22999999999999998
0,motive_5,0.008000000000000007
0,motive_6,-0.265
0,motive_7,0.10799999999999998
0,motive_8,0.532
1,motive_1,0.29399999999999993
1,motive_2,0.175
1,motive_3,-0.256
1,motive_4,-0.10000000000000003
1,motive_5,-0.6359999999999999
1,motive_6,0.735
1,motive_7,-0.07700000000000003
1,motive_8,0.49
2,motive_1,0.2439999999999999
2,motive_2,-0.128
2,motive_3,-0.49000000000000005
2,motive_4,-0.43000000000000005
2,motive_5,-1.0
2,motive_6,1.0
2,motive_7,-0.262
2,motive_8,0.44799999999999995
3,motive_1,0.1069999999999999
3,motive_2,-0.272
3,motive_3,0.51
3,motive_4,-0.9570000000000001
3,motive_5,-1.0
3,motive_6,0.695
3,motive_7,-0.42300000000000004
3,motive_8,0.20999999999999996
4,motive_1,-0.03000000000000011
4,motive_2,-0.41600000000000004
4,motive_3,1.0
4,motive_4,-1.0
4,motive_5,-1.0
4,motive_6,0.3899999999999999
4,motive_7,-0.5840000000000001
4,motive_8,-0.02800000000000004
5,motive_1,-0.03200000000000011
5,motive_2,-0.5800000000000001
5,motive_3,0.544
5,motive_4,0.0
5,motive_5,-1.0
5,motive_6,0.05999999999999989
5,motive_7,-0.883
5,motive_8,0.12599999999999995
6,motive_1,-0.03400000000000011
6,motive_2,-0.7440000000000001
6,motive_3,0.08800000000000002
6,motive_4,1.0
6,motive_5,-1.0
6,motive_6,-0.27000000000000013
6,motive_7,-1.0
6,motive_8,0.2799999999999999
7,motive_1,-0.19500000000000012
7,motive_2,0.2559999999999999
7,motive_3,-0.127
7,motive_4,0.694
7,motive_5,-1.0
7,motive_6,-0.7150000000000001
7,motive_7,-1.0
7,motive_8,0.06399999999999992
8,motive_1,-0.3560000000000001
8,motive_2,1.0
8,motive_3,-0.342
8,motive_4,0.3879999999999999
8,motive_5,-1.0
8,motive_6,-1.0
8,motive_7,-1.0
8,motive_8,-0.15200000000000008
9,motive_1,-0.40600000000000014
9,motive_2,0.6970000000000001
9,motive_3,-0.5760000000000001
9,motive_4,0.057999999999999885
9,motive_5,-1.0
9,motive_6,0.0
9,motive_7,-1.0
9,motive_8,-0.1940000000000001
10,motive_1,-0.4560000000000002
10,motive_2,0.39400000000000013
10,motive_3,-0.81
10,motive_4,-0.27200000000000013
10,motive_5,-1.0
10,motive_6,1.0
10,motive_7,-1.0
10,motive_8,-0.2360000000000001
11,motive_1,-0.5810000000000002
11,motive_2,0.1830000000000001
11,motive_3,-0.7810000000000001
11,motive_4,-0.7250000000000001
11,motive_5,0.0
11,motive_6,0.385
11,motive_7,-1.0
11,motive_8,-0.3930000000000001
12,motive_1,-0.7060000000000002
12,motive_2,-0.0279999999999999
12,motive_3,-0.7520000000000002
12,motive_4,-1.0
12,motive_5,1.0
12,motive_6,-0.22999999999999998
12,motive_7,-1.0
12,motive_8,-0.5500000000000002
13,motive_1,-0.7080000000000002
13,motive_2,-0.1919999999999999
13,motive_3,-1.0
13,motive_4,0.0
13,motive_5,0.518
13,motive_6,-0.56
13,motive_7,-1.0
13,motive_8,-0.3960000000000002
14,motive_1,-0.7100000000000002
14,motive_2,-0.35599999999999987
14,motive_3,-1.0
14,motive_4,1.0
14,motive_5,0.03600000000000003
14,motive_6,-0.89
14,motive_7,-1.0
14,motive_8,-0.24200000000000021
15,motive_1,0.2899999999999998
15,motive_2,-0.5459999999999998
15,motive_3,-1.0
15,motive_4,0.8270000000000001
15,motive_5,-0.289
15,motive_6,-1.0
15,motive_7,-1.0
15,motive_8,-0.3780000000000002
16,motive_1,1.0
16,motive_2,-0.7359999999999998
16,motive_3,-1.0
16,motive_4,0.654
16,motive_5,-0.614
16,motive_6,-1.0
16,motive_7,-1.0
16,motive_8,-0.5140000000000002
17,motive_1,1.0
17,motive_2,-1.0
17,motive_3,-1.0
17,motive_4,0.28400000000000003
17,motive_5,-1.0
17,motive_6,-1.0
17,motive_7,0.0
17,motive_8,-0.6610000000000003
18,motive_1,1.0
18,motive_2,-1.0
18,motive_3,-1.0
18,motive_4,-0.086
18,motive_5,-1.0
18,motive_6,-1.0
18,motive_7,1.0
18,motive_8,-0.8080000000000003
19,motive_1,0.875
19,motive_2,-1.0
19,motive_3,-0.9710000000000001
19,motive_4,-0.539
19,motive_5,0.0
19,motive_6,-1.0
19,motive_7,0.599
19,motive_8,-0.9650000000000003
20,motive_1,0.75
20,motive_2,-1.0
20,motive_3,-0.9420000000000002
20,motive_4,-0.9920000000000001
20,motive_5,1.0
20,motive_6,-1.0
20,motive_7,0.19799999999999995
20,motive_8,-1.0
21,motive_1,0.748
21,motive_2,-1.0
21,motive_3,-1.0
21,motive_4,0.007999999999999896
21,motive_5,0.518
21,motive_6,-1.0
21,motive_7,-0.10100000000000006
21,motive_8,-0.8460000000000001
22,motive_1,0.746
22,motive_2,-1.0
22,motive_3,-1.0
22,motive_4,1.0
22,motive_5,0.03600000000000003
22,motive_6,-1.0
22,motive_7,-0.4000000000000001
22,motive_8,-0.6920000000000002
23,motive_1,0.6960000000000001
23,motive_2,-1.0
23,motive_3,-1.0
23,motive_4,0.67
23,motive_5,-0.6079999999999999
23,motive_6,0.0
23,motive_7,-0.5850000000000001
23,motive_8,-0.7340000000000002
24,motive_1,0.6460000000000001
24,motive_2,-1.0
24,motive_3,-1.0
24,motive_4,0.33999999999999997
24,motive_5,-1.0
24,motive_6,1.0
24,motive_7,-0.77
24,motive_8,-0.7760000000000002
25,motive_1,0.4850000000000002
25,motive_2,0.0
25,motive_3,-1.0
25,motive_4,0.03399999999999992
25,motive_5,-1.0
25,motive_6,0.555
25,motive_7,-1.0
25,motive_8,-0.9920000000000002
26,motive_1,0.3240000000000002
26,motive_2,1.0
26,motive_3,-1.0
26,motive_4,-0.27200000000000013
26,motive_5,-1.0
26,motive_6,0.11000000000000004
26,motive_7,-1.0
26,motive_8,-1.0
27,motive_1,0.21700000000000016
27,motive_2,0.784
27,motive_3,-1.0
27,motive_4,-0.2600000000000002
27,motive_5,-1.0
27,motive_6,-0.07399999999999998
27,motive_7,-1.0
27,motive_8,0.0
28,motive_1,0.11000000000000015
28,motive_2,0.5680000000000001
28,motive_3,-1.0
28,motive_4,-0.24800000000000022
28,motive_5,-1.0
28,motive_6,-0.258
28,motive_7,-1.0
28,motive_8,1.0
29,motive_1,-0.014999999999999847
29,motive_2,0.35700000000000004
29,motive_3,-0.9710000000000001
29,motive_4,-0.7010000000000003
29,motive_5,0.0
29,motive_6,-0.873
29,motive_7,-1.0
29,motive_8,0.843
30,motive_1,-0.13999999999999985
30,motive_2,0.14600000000000002
30,motive_3,-0.9420000000000002
30,motive_4,-1.0
30,motive_5,1.0
30,motive_6,-1.0
30,motive_7,-1.0
30,motive_8,0.6859999999999999
31,motive_1,-0.14199999999999985
31,motive_2,-0.017999999999999988
31,motive_3,-1.0
31,motive_4,0.0
31,motive_5,0.518
31,motive_6,-1.0
31,motive_7,-1.0
31,motive_8,0.8399999999999999
32,motive_1,-0.14399999999999985
32,motive_2,-0.182
32,motive_3,-1.0
32,motive_4,1.0
32,motive_5,0.03600000000000003
32,motive_6,-1.0
32,motive_7,-1.0
32,motive_8,0.9939999999999998
33,motive_1,-0.28099999999999986
33,motive_2,-0.326
33,motive_3,0.0
33,motive_4,0.473
33,motive_5,-0.034999999999999976
33,motive_6,-1.0
33,motive_7,-1.0
33,motive_8,0.7559999999999998
34,motive_1,-0.4179999999999998
34,motive_2,-0.47000000000000003
34,motive_3,1.0
34,motive_4,-0.05400000000000005
34,motive_5,-0.10599999999999996
