step,active_behavior
0,
1,motive_4
2,motive_4
3,motive_2
4,motive_2
5,
6,
7,
8,
9,
10,
11,
12,motive_6
13,motive_6
14,motive_3
15,motive_3
16,motive_6
17,motive_6
18,motive_3
19,motive_3
20,motive_6
21,motive_6
22,motive_3
23,motive_3
24,motive_6
25,motive_6
26,motive_3
27,motive_3
28,motive_6
29,motive_6
30,motive_3
31,motive_3
32,motive_6
33,motive_6
34,motive_3
35,motive_3
36,motive_2
37,motive_2
38,motive_6
39,motive_6
40,motive_3
41,motive_3
42,motive_6
43,motive_6
44,motive_3
45,motive_3
46,motive_6
47,motive_6
48,motive_3
49,motive_3
50,motive_6
51,motive_6
52,motive_3
53,motive_3
54,motive_6
55,motive_6
56,motive_3
57,motive_3
58,motive_6
59,motive_6
60,motive_3
61,motive_3
62,motive_6
63,motive_6
64,motive_3
65,motive_3
66,motive_6
67,motive_6
68,motive_3
69,motive_3
70,motive_2
71,motive_2
72,motive_6
73,motive_6
74,motive_3
75,motive_3
76,motive_6
77,motive_6
78,motive_3
79,motive_3
80,motive_6
81,motive_6
82,motive_3
83,motive_3
84,motive_6
85,motive_6
86,motive_3
87,motive_3
88,motive_6
89,motive_6
90,motive_3
91,motive_3
92,motive_6
93,motive_6
94,motive_3
95,motive_3
96,motive_6
97,motive_6
98,motive_3
99,motive_3
100,motive_6
101,motive_6
102,motive_2
103,motive_2
104,
105,
106,motive_3
107,motive_3
108,motive_6
109,motive_6
110,motive_3
111,motive_3
112,motive_6
113,motive_6
114,motive_3
115,motive_3
116,motive_6
117,motive_6
118,motive_3
119,motive_3
120,motive_6
121,motive_6
122,motive_3
123,motive_3
124,motive_6
125,motive_6
126,motive_3
127,motive_3
128,motive_6
129,motive_6
130,motive_3
131,motive_3
132,motive_6
133,motive_6
134,motive_3
135,motive_3
136,motive_6
137,motive_6
138,motive_2
139,motive_2
140,
141,
142,motive_3
143,motive_3
144,motive_6
145,motive_6
146,motive_3
147,motive_3
148,motive_6
149,motive_6
150,motive_3
151,motive_3
152,motive_6
153,motive_6
154,motive_3
155,motive_3
156,motive_6
157,motive_6
158,motive_3
159,motive_3
160,motive_6
161,motive_6
162,motive_3
163,motive_3
164,motive_6
165,motive_6
166,motive_3
167,motive_3
168,motive_6
169,motive_6
170,motive_3
171,motive_3
172,motive_6
173,motive_6
174,motive_2
175,motive_2
176,
177,
178,motive_3
179,motive_3
180,motive_6
181,motive_6
182,motive_3
183,motive_3
184,motive_6
185,motive_6
186,motive_3
187,motive_3
188,motive_6
189,motive_6
190,motive_3
191,motive_3
192,motive_6
193,motive_6
194,motive_3
195,motive_3
196,motive_6
197,motive_6
198,motive_3
199,motive_3
200,motive_6
201,motive_6
202,motive_3
203,motive_3
204,motive_6
205,motive_6
206,motive_3
207,motive_3
208,motive_6
209,motive_6
210,motive_2
211,motive_2
212,
213,
214,motive_3
215,motive_3
216,motive_6
217,motive_6
218,motive_3
219,motive_3
220,motive_6
221,motive_6
222,motive_3
223,motive_3
224,motive_6
225,motive_6
226,motive_3
227,motive_3
228,motive_6
229,motive_6
230,motive_3
231,motive_3
232,motive_6
233,motive_6
234,motive_3
235,motive_3
236,motive_6
237,motive_6
238,motive_3
239,motive_3
240,motive_6
241,motive_6
242,motive_3
243,motive_3
244,motive_6
245,motive_6
246,motive_2
247,motive_2
248,
249,
250,motive_3
251,motive_3
252,motive_6
253,motive_6
254,motive_3
255,motive_3
256,motive_6
257,motive_6
258,motive_3
259,motive_3
260,motive_6
261,motive_6
262,motive_3
263,motive_3
264,motive_6
265,motive_6
266,motive_3
267,motive_3
268,motive_6
269,motive_6
270,motive_3
271,motive_3
272,motive_6
273,motive_6
274,motive_3
275,motive_3
276,motive_6
277,motive_6
278,motive_3
279,motive_3
280,motive_6
281,motive_6
282,motive_2
283,motive_2
284,
285,
286,motive_3
287,motive_3
288,motive_6
289,motive_6
290,motive_3
291,motive_3
292,motive_6
293,motive_6
294,motive_3
295,motive_3
296,motive_6
297,motive_6
298,motive_3
299,motive_3
300,motive_6
301,motive_6
302,motive_3
303,motive_3
304,motive_6
305,motive_6
306,motive_3
307,motive_3
308,motive_6
309,motive_6
310,motive_3
311,motive_3
312,motive_6
313,motive_6
314,motive_3
315,motive_3
316,motive_6
317,motive_6
318,motive_3
319,motive_3
320,motive_2
321,motive_2
322,motive_6
323,motive_6
324,motive_3
325,motive_3
326,motive_6
327,motive_6
328,motive_3
329,motive_3
330,motive_6
331,motive_6
332,motive_3
333,motive_3
334,motive_6
335,motive_6
336,motive_3
337,motive_3
338,motive_6
339,motive_6
340,motive_3
341,motive_3
342,motive_6
343,motive_6
344,motive_3
345,motive_3
346,motive_6
347,motive_6
348,motive_3
349,motive_3
350,motive_6
351,motive_6
352,motive_2
353,motive_2
354,
355,
356,motive_3
357,motive_3
358,motive_6
359,motive_6
360,motive_3
361,motive_3
362,motive_6
363,motive_6
364,motive_3
365,motive_3
366,motive_6
367,motive_6
368,motive_3
369,motive_3
370,motive_6
371,motive_6
372,motive_3
373,motive_3
374,motive_6
375,motive_6
376,motive_3
377,motive_3
378,motive_6
379,motive_6
380,motive_3
381,motive_3
382,motive_6
383,motive_6
384,motive_3
385,motive_3
386,motive_6
387,motive_6
388,motive_2
389,motive_2
390,
391,
392,motive_3
393,motive_3
394,motive_6
395,motive_6
396,motive_3
397,motive_3
398,motive_6
399,motive_6
400,motive_3
401,motive_3
402,motive_6
403,motive_6
404,motive_3
405,motive_3
406,motive_6
407,motive_6
408,motive_3
409,motive_3
410,motive_6
411,motive_6
412,motive_3
413,motive_3
414,motive_6
415,motive_6
416,motive_3
417,motive_3
418,motive_6
419,motive_6
420,motive_3
421,motive_3
422,motive_6
423,motive_6
424,motive_2
425,motive_2
426,
427,
428,motive_3
429,motive_3
430,motive_6
431,motive_6
432,motive_3
433,motive_3
434,motive_6
435,motive_6
436,motive_3
437,motive_3
438,motive_6
439,motive_6
440,motive_3
441,motive_3
442,motive_6
443,motive_6
444,motive_3
445,motive_3
446,motive_6
447,motive_6
448,motive_3
449,motive_3
450,motive_6
451,motive_6
452,motive_3
453,motive_3
454,motive_6
455,motive_6
456,motive_3
457,motive_3
458,motive_6
459,motive_6
460,motive_2
461,motive_2
462,
463,
464,motive_3
465,motive_3
466,motive_6
467,motive_6
468,motive_3
469,motive_3
470,motive_6
471,motive_6
