structural_pattern,num_simulations,simulation_ids
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A,91,"21,48,52,55,73,74,83,104,108,109,121,154,158,184,203,210,233,243,251,253,266,271,275,287,288,292,305,307,325,326,352,365,375,378,381,383,397,405,457,481,482,484,489,494,505,508,510,533,538,554,557,561,578,581,608,626,629,639,649,670,683,701,733,760,765,782,792,802,811,822,834,836,854,856,863,865,870,885,890,891,893,901,904,916,920,927,946,948,981,993,998"
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B,49,"26,39,53,66,131,172,173,208,215,225,227,249,297,314,343,344,379,444,449,453,459,473,501,509,551,562,576,597,611,620,644,671,673,681,689,691,704,731,734,742,749,758,800,850,884,918,961,969,978"
A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C,22,"38,60,166,194,258,330,417,418,419,426,460,513,610,676,696,710,829,843,909,930,953,999"
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A,18,"0,27,37,40,62,89,125,128,181,248,322,337,341,607,678,778,783,866"
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C→C→B→B→A,17,"70,113,230,252,280,356,359,385,425,547,606,706,775,780,876,899,984"
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A,12,"190,320,353,354,532,593,722,730,732,759,846,962"
A→A→B→B→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B,11,"94,315,321,367,474,475,690,740,747,754,762"
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C,10,"4,195,289,515,566,817,830,869,880,973"
A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B,9,"1,155,205,304,382,767,828,925,959"
A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→B→B→C→C→B,9,"57,142,300,495,635,648,725,771,862"
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B,8,"92,134,211,285,313,431,662,852"
A→A→B→B→C→C→A→A→B→B→D→D→A→A→B→B→C→C→A→A→B,7,"28,87,178,599,640,810,988"
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→C,7,"29,147,395,550,617,661,677"
A→A→B→B→C→C→D→D→B→B→C→C→D→D→B→B→C→C→D→D→B,7,"31,63,324,512,616,634,912"
A→A→B→B→C→C→D→D→B→B→C→C→B→B→C→C→D→D→B→B→C,7,"35,464,520,632,679,714,902"
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→C→C→A,7,"71,220,429,540,695,781,905"
A→A→B→B→C→C→D→D→A→A→B→B→C→C→D→D→A→A→B→B→C,7,"106,250,272,311,686,707,809"
A→A→B→B→A→A→C→C→B→B→A→A→C→C→B→B→A→A→C→C→B,7,"114,279,318,369,718,763,845"
A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B,6,"20,619,621,820,883,982"
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→C,6,"25,539,553,569,726,908"
A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C,6,"183,189,235,579,851,878"
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→C→C→A,6,"338,346,388,437,715,770"
A→A→B→B→C→C→D→D→A→A→B→B→C→C→D→D→B→B→A→A→C,5,"45,282,392,465,625"
A→A→B→B→C→C→A→A→B→B→A→A→C→C→A→A→B→B→C→C→A,5,"145,265,709,744,954"
A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→B→B→A→A→B,5,"174,260,476,564,952"
