seed,pattern,structure,pattern_length,first_occurrence_step,num_occurrences,occurrence_positions,example_1,example_2,example_3
0,motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5,A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B→B→C→C→A,21,0,17,"[0, 14, 28, 42, 56, 70, 84, 98, 112, 126]",motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5,motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5,motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→motive_5
1,motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A,21,8,112,"[8, 10, 12, 14, 16, 18, 20, 22, 24, 26]",motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2,motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4,motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_2
2,motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A,21,4,168,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22]",motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1,motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5,motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1
3,motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_1→motive_1→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_1,A→A→B→B→C→C→D→D→B→B→A→A→C→C→B→B→A→A→B→B→C,21,16,4,"[16, 40, 258, 282]",motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_1→motive_1→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_1,motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_1→motive_1→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_1,motive_5→motive_5→motive_4→motive_4→motive_1→motive_1→motive_6→motive_6→motive_4→motive_4→motive_5→motive_5→motive_1→motive_1→motive_4→motive_4→motive_5→motive_5→motive_4→motive_4→motive_1
4,motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_1,A→A→B→B→C→C→D→D→A→A→C→C→D→D→C→C→D→D→A→A→C,21,4,2,"[4, 204]",motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_1,motive_3→motive_3→motive_5→motive_5→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_1→motive_1→motive_6→motive_6→motive_1→motive_1→motive_6→motive_6→motive_3→motive_3→motive_1,
5,motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_1,A→A→B→B→C→C→D→D→B→B→C→C→B→B→D→D→C→C→B→B→A,21,14,2,"[14, 90]",motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_1,motive_1→motive_1→motive_7→motive_7→motive_2→motive_2→motive_5→motive_5→motive_7→motive_7→motive_2→motive_2→motive_7→motive_7→motive_5→motive_5→motive_2→motive_2→motive_7→motive_7→motive_1,
6,motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A,21,6,88,"[6, 8, 10, 12, 14, 16, 18, 20, 22, 24]",motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5,motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1,motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5
7,motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_4,A→A→B→B→C→C→B→B→A→A→B→B→C→C→A→A→B→B→C→C→B,21,0,3,"[0, 96, 120]",motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_4,motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_4,motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_4→motive_4→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_2→motive_2→motive_4→motive_4→motive_3→motive_3→motive_4
8,motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4,A→A→B→B→A→A→B→B→A→A→B→B→C→C→B→B→A→A→B→B→A,21,0,2,"[0, 214]",motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4,motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_4→motive_4→motive_1→motive_1→motive_4,
9,motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1,A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A,21,4,114,"[4, 6, 8, 10, 12, 14, 16, 18, 20, 22]",motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1,motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5,motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1→motive_1→motive_5→motive_5→motive_1
