structure,count
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A,301
A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C,29
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→A→A→B,18
A→A→B→B→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B,16
A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B,13
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B,13
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→A,13
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A,12
A→A→B→B→C→C→A→A→B→B→C→C→B→B→A→A→C→C→B→B→A,12
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C,11
A→A→B→B→C→C→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B,9
A→A→B→B→C→C→A→A→B→B→C→C→B→B→C→C→A→A→B→B→C,8
A→A→B→B→A→A→B→B→A→A→B→B→C→C→B→B→A→A→B→B→A,8
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→C→C→A,8
A→A→B→B→C→C→D→D→C→C→D→D→C→C→D→D→C→C→D→D→C,8
A→A→B→B→C→C→A→A→B→B→A→A→C→C→A→A→B→B→C→C→A,8
A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→C→C→B→B→A,8
A→A→B→B→A→A→C→C→A→A→B→B→C→C→A→A→B→B→A→A→C,7
A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B,7
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C→C→B→B→A,7
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→C→C→A,7
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B→B→C→C→B,6
A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→A→A→B→B→C,6
A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B,6
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A,6
A→A→B→B→C→C→B→B→A→A→B→B→C→C→B→B→A→A→B→B→C,5
A→A→B→B→C→C→B→B→C→C→B→B→C→C→A→A→B→B→C→C→B,5
A→A→B→B→A→A→B→B→C→C→B→B→A→A→B→B→A→A→B→B→A,5
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→B→B→A→A→B,5
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→C→C→B,5
A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→C→C→B→B→A,5
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→C,5
A→A→B→B→A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C,5
A→A→B→B→C→C→B→B→A→A→B→B→C→C→A→A→B→B→C→C→B,5
A→A→B→B→C→C→B→B→C→C→A→A→B→B→C→C→A→A→B→B→C,5
A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→B→B→C→C→A,5
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C→C→A→A→B,5
A→A→B→B→C→C→A→A→B→B→A→A→C→C→A→A→B→B→A→A→C,5
A→A→B→B→C→C→B→B→A→A→C→C→B→B→C→C→B→B→A→A→B,5
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→A→A→C,4
A→A→B→B→A→A→C→C→D→D→C→C→A→A→B→B→A→A→C→C→D,4
A→A→B→B→C→C→B→B→C→C→B→B→A→A→B→B→C→C→B→B→C,4
A→A→B→B→C→C→A→A→B→B→C→C→A→A→B→B→A→A→C→C→B,4
A→A→B→B→A→A→B→B→A→A→B→B→A→A→B→B→C→C→A→A→B,4
A→A→B→B→C→C→B→B→C→C→B→B→A→A→C→C→B→B→C→C→B,4
A→A→B→B→C→C→A→A→C→C→B→B→A→A→C→C→B→B→A→A→C,4
A→A→B→B→C→C→B→B→A→A→B→B→C→C→B→B→A→A→C→C→B,4
A→A→B→B→C→C→A→A→B→B→A→A→C→C→A→A→C→C→A→A→B,3
A→A→B→B→A→A→B→B→C→C→A→A→B→B→A→A→B→B→C→C→B,3
A→A→B→B→A→A→C→C→B→B→A→A→C→C→B→B→A→A→C→C→B,3
A→A→B→B→C→C→A→A→B→B→C→C→B→B→A→A→B→B→A→A→C,3
A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→A→A→C→C→B,3
A→A→B→B→C→C→D→D→A→A→B→B→C→C→D→D→A→A→B→B→C,3
A→A→B→B→C→C→B→B→A→A→C→C→B→B→A→A→B→B→C→C→A,3
A→A→B→B→C→C→B→B→C→C→B→B→C→C→D→D→B→B→C→C→B,3
A→A→B→B→C→C→B→B→A→A→B→B→C→C→B→B→A→A→B→B→A,3
A→A→B→B→A→A→C→C→B→B→A→A→B→B→A→A→C→C→B→B→A,3
A→A→B→B→A→A→C→C→B→B→A→A→C→C→A→A→B→B→C→C→A,3
A→A→B→B→C→C→A→A→B→B→C→C→B→B→A→A→C→C→B→B→C,3
A→A→B→B→C→C→B→B→C→C→B→B→C→C→B→B→C→C→A→A→B,3
A→A→B→B→A→A→B→B→C→C→B→B→A→A→B→B→C→C→B→B→A,3
A→A→B→B→A→A→B→B→C→C→B→B→A→A→B→B→A→A→C→C→B,3
A→A→B→B→C→C→A→A→B→B→A→A→C→C→B→B→A→A→B→B→C,3
A→A→B→B→C→C→D→D→A→A→B→B→C→C→A→A→B→B→A→A→B,3
A→A→B→B→C→C→A→A→B→B→C→C→A→A→C→C→B→B→A→A→C,3
A→A→B→B→C→C→B→B→A→A→B→B→A→A→B→B→A→A→B→B→C,3
