seed,n_motives,steps,decay_rate,growth_rate,inter_mean,inter_sd,sat_mean,sat_sd,has_pattern,pattern_length,pattern_occurrences,pattern_structure
0,8,1000,0.14230412319929622,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→D→D→A
1,8,1000,0.14820007331740523,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→B→B→C→C→D→D→A→A→E
2,8,1000,0.13427747777548218,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→C→C→G→G→B→B→D
3,8,1000,0.11841088753606842,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→B→B→C
4,8,1000,0.14772382679573073,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→C→C→H→H→D
5,8,1000,0.15912870772764917,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→C
6,8,1000,0.1622428713692879,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→D→D→B
7,8,1000,0.1393655311959435,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→E
8,8,1000,0.13534535122187705,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→D→D→E
9,8,1000,0.13840240658726427,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→B→B→A
10,8,1000,0.15136591657303114,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→E→E→A
11,8,1000,0.140900630999422,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→D→D→E
12,8,1000,0.12999486516882125,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→H→H→A→A→E
13,8,1000,0.1549566077847032,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→C→C→B→B→D
14,8,1000,0.12380144237152609,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→G→G→H
15,8,1000,0.1323967812417197,1,0.0,0.1,0.1,0.2,True,21,5,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→D
16,8,1000,0.14034805426025998,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→C
17,8,1000,0.14639767975966375,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→H→H→D
18,8,1000,0.1609153987148771,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→B→B→F→F→G→G→H→H→E
19,8,1000,0.15498308162594343,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→A→A→B
20,8,1000,0.1310898778129894,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→H→H→A→A→E
21,8,1000,0.1533781329255573,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→D→D→C
22,8,1000,0.12890472576097953,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→C
23,8,1000,0.1468522556595862,1,0.0,0.1,0.1,0.2,True,21,6,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→C
24,8,1000,0.15746627200013935,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→A→A→H→H→B
25,8,1000,0.14066438580756788,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→A→A→F→F→C→C→B→B→D→D→A
26,8,1000,0.1318385541621677,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→D→D→C
27,8,1000,0.1638270387322341,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→D
28,8,1000,0.14025286603910586,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→H→H→E
29,8,1000,0.14340923402005873,1,0.0,0.1,0.1,0.2,True,21,4,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→B→B→D
30,8,1000,0.13599306104590697,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→H→H→A→A→B
31,8,1000,0.13828839093997408,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→D
32,8,1000,0.15608566020747916,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→D→D→G
33,8,1000,0.12794457540083753,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→G→G→H
34,8,1000,0.14205639745190657,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→E→E→A→A→D
35,8,1000,0.140019776767948,1,0.0,0.1,0.1,0.2,True,21,6,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→D→D→C
36,8,1000,0.1322538068438836,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→D→D→G→G→B→B→E
37,8,1000,0.16448782011643998,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→D→D→H
38,8,1000,0.14829616874137802,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→A→A→B→B→D
39,8,1000,0.14502834784016008,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→A
40,8,1000,0.15357045221411678,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→B→B→F→F→A→A→G→G→H→H→E
41,8,1000,0.12070033483593286,1,0.0,0.1,0.1,0.2,True,21,6,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→C
42,8,1000,0.12129032817629966,1,0.0,0.1,0.1,0.2,True,21,5,A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→D→D→E
43,8,1000,0.1645000487549135,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→A
44,8,1000,0.1429885225577767,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→C→C→F
45,8,1000,0.11376059429347214,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→B→B→D
46,8,1000,0.1351837062152957,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→A→A→B
47,8,1000,0.1365274648377702,1,0.0,0.1,0.1,0.2,True,21,6,A→A→B→B→C→C→D→D→E→E→B→B→F→F→G→G→H→H→A→A→B
48,8,1000,0.14701206196618927,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→F→F→B→B→G→G→C→C→A
49,8,1000,0.1596714481241383,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→D→D→E→E→C
50,8,1000,0.1589282984362362,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→B→B→A→A→D
51,8,1000,0.13383293457715556,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→D→D→C
52,8,1000,0.15922673294645093,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→H→H→C→C→E
53,8,1000,0.1405554199253131,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→A→A→E→E→F→F→G→G→H→H→C→C→B
54,8,1000,0.13575287703731337,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→C→C→B→B→D
55,8,1000,0.15001196161753255,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→D→D→B→B→C
56,8,1000,0.1383386365752926,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→E→E→D
57,8,1000,0.14435821473630575,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→D
58,8,1000,0.14290276081014697,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→B→B→F→F→C→C→G→G→B
59,8,1000,0.14846808838104164,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→A→A→C→C→D
60,8,1000,0.15191413192513797,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→H→H→C
61,8,1000,0.11852637020252552,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→D→D→C
62,8,1000,0.12100569128932233,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→D→D→C→C→B
63,8,1000,0.1438879821178909,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→B→B→D
64,8,1000,0.12054161472014872,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→F→F→B→B→G→G→H→H→E
65,8,1000,0.13536122362458117,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→D→D→E→E→C→C→H
66,8,1000,0.148705376741614,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→C→C→D
67,8,1000,0.10887147477162247,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→C→C→D
68,8,1000,0.16128647760747175,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→A→A→E→E→H
69,8,1000,0.1250459544678185,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→D→D→A→A→C→C→H
70,8,1000,0.12393723296189062,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→D→D→C
71,8,1000,0.1424068580093261,1,0.0,0.1,0.1,0.2,True,21,4,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→C
72,8,1000,0.1494776266435162,1,0.0,0.1,0.1,0.2,True,20,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→E→E→C→C
73,8,1000,0.14651076375717145,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→F
74,8,1000,0.1473456064258238,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→D→D→B→B→C
75,8,1000,0.1380554740167553,1,0.0,0.1,0.1,0.2,True,21,4,A→A→B→B→C→C→D→D→E→E→F→F→C→C→D→D→E→E→F→F→C
76,8,1000,0.1432813801685753,1,0.0,0.1,0.1,0.2,True,21,4,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→C
77,8,1000,0.12014100412411209,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→D→D→A→A→H
78,8,1000,0.1652389347786609,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→B→B→E
79,8,1000,0.15787070342777135,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→D→D→A→A→E
80,8,1000,0.15020620421631162,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→F→F→C→C→G→G→H→H→D
81,8,1000,0.11320208322593242,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→C→C→H→H→B
82,8,1000,0.14420320385940627,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→B→B→D
83,8,1000,0.13659446765442987,1,0.0,0.1,0.1,0.2,True,21,5,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→C
84,8,1000,0.11921657615864567,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→D→D→E
85,8,1000,0.13350934659742691,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→E→E→D→D→C
86,8,1000,0.13453635296202823,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→D
87,8,1000,0.12746685424552923,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→C→C→G→G→E→E→A
88,8,1000,0.13486403368088043,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→D→D→B
89,8,1000,0.1279560446924601,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→C→C→A→A→D
90,8,1000,0.15468291286677546,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→D→D→C
91,8,1000,0.17206568528336036,1,0.0,0.1,0.1,0.2,True,21,4,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→C→C→D
92,8,1000,0.1219837267211097,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→D→D→E
93,8,1000,0.15030405656412718,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→A→A→D→D→G→G→B→B→C
94,8,1000,0.14657049991150686,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→E→E→C→C→D
95,8,1000,0.13919658749399863,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→C
96,8,1000,0.1370464830452119,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→H→H→D
97,8,1000,0.12855811044327997,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→H→H→B→B→C
98,8,1000,0.1228406111947021,1,0.0,0.1,0.1,0.2,True,21,4,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→D
99,8,1000,0.15567424467904895,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→D→D→A→A→B→B→C
100,8,1000,0.1336954171659969,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→E
101,8,1000,0.1598918669653004,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→C→C→E
102,8,1000,0.15460381324430136,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→C→C→G→G→H
103,8,1000,0.13635181077332384,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→B→B→C→C→F→F→D→D→A
104,8,1000,0.14170508917753535,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→E
105,8,1000,0.14527723344993398,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→A→A→B→B→C→C→F→F→G→G→A
106,8,1000,0.11715396290513964,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→F→F→G
107,8,1000,0.13458523526968041,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→D→D→F→F→E
108,8,1000,0.16307597878491048,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→D→D→E
109,8,1000,0.1667121317003706,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→C→C→B→B→G→G→H
110,8,1000,0.14367229599772177,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→E→E→B
111,8,1000,0.13548568388972354,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→D→D→B
112,8,1000,0.13400041052129583,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→B→B→A
113,8,1000,0.14367214466946807,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→A→A→D
114,8,1000,0.13483449412165613,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→A→A→E→E→F→F→G→G→H→H→B→B→C
115,8,1000,0.14014379433492338,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→E
116,8,1000,0.1500228580113053,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→B→B→A→A→D→D→E→E→C
117,8,1000,0.1749409042356643,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→B→B→C
118,8,1000,0.15363361215772225,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→B→B→A→A→C→C→D→D→G
119,8,1000,0.143767422570344,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→D→D→C→C→E
120,8,1000,0.14892590513385479,1,0.0,0.1,0.1,0.2,True,21,33,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→C
121,8,1000,0.1457598408821985,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→D→D→C→C→E
122,8,1000,0.1110570262181041,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→C→C→D
123,8,1000,0.1576405387405186,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→C→C→G→G→B→B→A
124,8,1000,0.14744648550449638,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→B→B→H→H→E
125,8,1000,0.1252656035461666,1,0.0,0.1,0.1,0.2,True,21,7,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→H→H→D
126,8,1000,0.13222184310231513,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→C→C→D
127,8,1000,0.13322801681849186,1,0.0,0.1,0.1,0.2,True,21,3,A→A→B→B→C→C→D→D→E→E→F→F→G→G→B→B→A→A→H→H→C
128,8,1000,0.14447129919125654,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→H→H→F
129,8,1000,0.12234628880638744,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→G→G→C→C→H
130,8,1000,0.16122104145944963,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→C→C→B→B→G→G→D
131,8,1000,0.13824967956971082,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→C→C→D→D→E→E→B
132,8,1000,0.13542361615539542,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→B→B→A→A→D
133,8,1000,0.12718517301000068,1,0.0,0.1,0.1,0.2,True,21,7,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→H→H→C
134,8,1000,0.1567514103482483,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→D→D→B
135,8,1000,0.1448859336788399,1,0.0,0.1,0.1,0.2,True,21,8,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→D
136,8,1000,0.12365018807437646,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→D→D→C
137,8,1000,0.15411367232388667,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→H→H→C→C→B
138,8,1000,0.1390245366265227,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→B→B→G→G→H→H→D→D→C
139,8,1000,0.12639913748847106,1,0.0,0.1,0.1,0.2,True,21,5,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→A→A→B→B→C
140,8,1000,0.14999930431615632,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→A→A→F→F→G→G→B→B→H→H→E
141,8,1000,0.13271517874076974,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→G→G→H→H→E→E→D
142,8,1000,0.1464906522628255,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→A→A→B→B→D→D→C
143,8,1000,0.12409667788961233,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→G→G→H→H→C→C→E→E→D
144,8,1000,0.13927868369001303,1,0.0,0.1,0.1,0.2,True,21,2,A→A→B→B→C→C→D→D→E→E→F→F→A→A→B→B→G→G→C→C→E
