step,active_behavior
0,motive_8
1,motive_8
2,motive_1
3,motive_1
4,motive_4
5,motive_4
6,motive_6
7,motive_6
8,motive_8
9,motive_8
10,motive_1
11,motive_1
12,motive_6
13,motive_6
14,motive_4
15,motive_4
16,motive_8
17,motive_8
18,motive_6
19,motive_6
20,motive_1
21,motive_1
22,motive_4
23,motive_4
24,motive_8
25,motive_8
26,motive_6
27,motive_6
28,motive_8
29,motive_8
30,motive_6
31,motive_6
32,motive_1
33,motive_1
34,motive_8
35,motive_8
36,motive_4
37,motive_4
38,motive_6
39,motive_6
40,motive_1
41,motive_1
42,motive_8
43,motive_8
44,motive_6
45,motive_6
46,motive_8
47,motive_8
48,motive_4
49,motive_4
50,motive_1
51,motive_1
52,motive_6
53,motive_6
54,motive_8
55,motive_8
56,motive_6
57,motive_6
58,motive_4
59,motive_4
60,motive_1
61,motive_1
62,motive_8
63,motive_8
64,motive_6
65,motive_6
66,motive_8
67,motive_8
68,motive_4
69,motive_4
70,motive_1
71,motive_1
72,motive_6
73,motive_6
74,motive_8
75,motive_8
76,motive_4
77,motive_4
78,motive_6
79,motive_6
80,motive_1
81,motive_1
82,motive_8
83,motive_8
84,motive_6
85,motive_6
86,motive_4
87,motive_4
88,motive_8
89,motive_8
90,motive_6
91,motive_6
92,motive_1
93,motive_1
94,motive_8
95,motive_8
96,motive_6
97,motive_6
98,motive_8
99,motive_8
100,motive_4
101,motive_4
102,motive_1
103,motive_1
104,motive_2
105,motive_2
106,motive_4
107,motive_4
108,motive_6
109,motive_6
110,motive_8
111,motive_8
112,motive_1
113,motive_1
114,motive_6
115,motive_6
116,motive_8
117,motive_8
118,motive_4
119,motive_4
120,motive_6
121,motive_6
122,motive_7
123,motive_7
124,motive_4
125,motive_4
126,motive_1
127,motive_1
128,motive_6
129,motive_6
130,motive_8
131,motive_8
132,motive_6
133,motive_6
134,motive_8
135,motive_8
136,motive_4
137,motive_4
138,motive_1
139,motive_1
140,motive_2
141,motive_2
142,motive_4
143,motive_4
144,motive_6
145,motive_6
146,motive_8
