step,motive_1,motive_2,motive_3,motive_4,motive_5,motive_6,motive_7,motive_8
0,0.493,0.321,0.088,0.028,0.053,0.521,0.301,0.792
1,0.614,0.33,0.027,-0.021,0.092,0.672,0.522,1.0
2,0.453,0.339,0.248,0.979,0.413,0.823,0.461,0.809
3,0.292,0.348,0.469,1.0,0.734,0.974,0.4,0.618
4,0.172,0.257,0.449,1.0,0.814,1.0,0.38,0.527
5,0.052,0.166,0.429,1.0,0.894,1.0,0.36,0.436
6,-0.068,0.075,0.409,1.0,0.974,1.0,0.34,0.345
7,0.932,0.225,0.489,1.0,0.954,1.0,0.42,0.495
8,1.0,0.375,0.569,1.0,0.934,1.0,0.5,0.645
9,0.88,0.284,0.549,1.0,1.0,1.0,0.48,0.554
10,0.76,0.193,0.529,1.0,1.0,1.0,0.46,0.463
11,0.64,0.102,0.509,1.0,1.0,1.0,0.44,0.372
12,0.52,0.011,0.489,1.0,1.0,1.0,0.42,0.281
13,0.4,-0.08,0.469,1.0,1.0,1.0,0.4,0.19
14,0.521,0.92,0.69,1.0,1.0,0.951,0.339,0.199
15,0.642,1.0,0.911,1.0,1.0,0.902,0.278,0.208
16,0.522,0.909,0.891,1.0,1.0,0.953,0.258,0.117
17,0.402,0.818,0.871,1.0,1.0,1.0,0.238,0.026
18,0.282,0.727,0.851,1.0,1.0,1.0,0.218,-0.065
19,0.403,0.736,0.79,0.951,1.0,1.0,0.439,0.935
20,0.524,0.745,0.729,0.902,1.0,1.0,0.66,1.0
21,0.404,0.654,0.709,0.953,1.0,1.0,0.64,0.909
22,0.284,0.563,0.689,1.0,1.0,1.0,0.62,0.818
23,0.164,0.472,0.669,1.0,1.0,1.0,0.6,0.727
24,0.044,0.381,0.649,1.0,1.0,1.0,0.58,0.636
25,-0.076,0.29,0.629,1.0,1.0,1.0,0.56,0.545
26,0.924,0.44,0.709,1.0,0.98,1.0,0.64,0.695
27,1.0,0.59,0.789,1.0,0.96,1.0,0.72,0.845
28,0.88,0.499,0.769,1.0,1.0,1.0,0.7,0.754
29,0.76,0.408,0.749,1.0,1.0,1.0,0.68,0.663
30,0.64,0.317,0.729,1.0,1.0,1.0,0.66,0.572
31,0.52,0.226,0.709,1.0,1.0,1.0,0.64,0.481
32,0.4,0.135,0.689,1.0,1.0,1.0,0.62,0.39
33,0.28,0.044,0.669,1.0,1.0,1.0,0.6,0.299
34,0.16,-0.047,0.649,1.0,1.0,1.0,0.58,0.208
35,0.281,0.953,0.87,1.0,1.0,0.951,0.519,0.217
36,0.402,1.0,1.0,1.0,1.0,0.902,0.458,0.226
37,0.282,0.909,0.98,1.0,1.0,0.953,0.438,0.135
38,0.162,0.818,0.96,1.0,1.0,1.0,0.418,0.044
39,0.042,0.727,0.94,1.0,1.0,1.0,0.398,-0.047
40,0.163,0.736,0.879,0.951,1.0,1.0,0.619,0.953
41,0.284,0.745,0.818,0.902,1.0,1.0,0.84,1.0
42,0.164,0.654,0.798,0.953,1.0,1.0,0.82,0.909
43,0.044,0.563,0.778,1.0,1.0,1.0,0.8,0.818
44,-0.076,0.472,0.758,1.0,1.0,1.0,0.78,0.727
45,0.924,0.622,0.838,1.0,0.98,1.0,0.86,0.877
46,1.0,0.772,0.918,1.0,0.96,1.0,0.94,1.0
47,0.88,0.681,0.898,1.0,1.0,1.0,0.92,0.909
48,0.76,0.59,0.878,1.0,1.0,1.0,0.9,0.818
49,0.64,0.499,0.858,1.0,1.0,1.0,0.88,0.727
