step,active_behavior
0,motive_2
1,motive_2
2,motive_5
3,motive_5
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,motive_3
21,motive_3
22,motive_5
23,motive_5
24,
25,
26,
27,
28,
29,
30,
31,
32,motive_1
33,motive_1
34,motive_6
35,motive_6
36,
37,
38,motive_3
39,motive_3
40,
41,
42,
43,
44,
45,
46,motive_1
47,motive_1
48,
49,
50,motive_6
51,motive_6
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,motive_3
62,motive_3
63,motive_1
64,motive_1
65,
66,motive_6
67,motive_6
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,motive_1
80,motive_1
81,
82,motive_6
83,motive_6
84,motive_3
85,motive_3
86,
87,
88,
89,
90,
91,
92,
93,motive_1
94,motive_1
95,
96,
97,
98,motive_6
99,motive_6
100,
101,
102,
103,
104,
105,
106,
107,motive_3
108,motive_3
109,motive_1
110,motive_1
111,
112,
113,
114,motive_6
115,motive_6
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,motive_1
126,motive_1
127,
128,
129,motive_3
130,motive_3
131,motive_6
132,motive_6
133,
134,
135,
136,
137,
138,
139,motive_1
140,motive_1
141,
142,
143,
144,
145,
146,
147,motive_6
148,motive_6
149,
150,
151,
152,
153,motive_3
154,motive_3
155,motive_1
156,motive_1
157,
158,
159,
160,
161,
162,
163,motive_6
164,motive_6
165,
166,
167,
168,
169,
170,
171,motive_1
172,motive_1
173,
174,
175,motive_3
176,motive_3
177,
178,
179,motive_6
180,motive_6
181,
182,
183,
184,
185,motive_1
186,motive_1
187,
188,
189,
190,
191,
192,
193,
194,
195,motive_6
196,motive_6
197,
198,
199,motive_3
200,motive_3
201,motive_1
202,motive_1
203,
204,
205,
206,
207,
208,
209,
210,
211,motive_6
212,motive_6
213,
214,
215,
216,
217,motive_1
218,motive_1
219,
220,
221,motive_3
222,motive_3
223,
224,
225,
226,
227,motive_6
228,motive_6
229,
230,
231,motive_1
232,motive_1
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,motive_6
244,motive_6
245,motive_3
246,motive_3
247,motive_1
248,motive_1
249,
250,
251,
252,
253,
254,
255,
256,
257,
258,
259,motive_6
260,motive_6
261,
262,
263,motive_1
264,motive_1
265,
266,
267,motive_3
268,motive_3
269,
270,
271,
272,
273,
274,
275,motive_6
276,motive_6
277,motive_1
278,motive_1
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,motive_3
291,motive_3
292,motive_6
293,motive_6
294,motive_1
295,motive_1
296,
297,
298,
299,
300,
301,
302,
303,
304,
305,
306,
307,
308,motive_6
309,motive_6
310,motive_1
311,motive_1
312,motive_3
313,motive_3
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,motive_6
325,motive_6
326,motive_1
327,motive_1
328,
329,
330,
331,
332,
333,
334,
335,motive_3
336,motive_3
337,
338,
339,
340,motive_6
341,motive_6
342,motive_1
343,motive_1
344,
345,
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,
356,motive_6
357,motive_6
358,motive_1
359,motive_1
360,motive_3
361,motive_3
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,motive_6
373,motive_6
374,motive_1
375,motive_1
376,
377,
378,
379,
380,
381,
382,
383,motive_3
384,motive_3
385,
386,
387,
388,motive_6
389,motive_6
390,motive_1
391,motive_1
392,
393,
394,
395,
396,
397,
398,
399,
